#{"t_start": 1761969803.0141995, "env_id": "PulleyEnv-v0"}
r,l,t
-495165.719512,5,1.369424
-862102.811544,48,1.647771
-635437.87201,7,1.688664
-492596.842756,5,1.721265
-502756.773592,5,1.752168
-1503430.14975,21,1.883278
-2780182.790127,58,2.251304
-244556.265525,28,2.43803
-862467.46897,11,2.507266
-491792.770157,5,2.5382
-596272.448603,49,2.822654
-1363724.481991,27,2.986198
-850961.965787,10,3.042154
-502641.540211,5,3.069892
-489975.878408,5,3.100365
-907243.633098,11,3.163384
-483489.243324,5,3.192676
-1629214.73203,22,3.318984
-869103.110115,10,3.386955
-796264.338943,9,3.439449
-1148930.853575,14,3.523754
-575242.987854,7,3.564367
-478331.518274,5,3.593815
-486219.011782,5,3.62254
-811395.055208,10,3.679646
-499779.466085,5,3.711619
-2806578.0879,39,3.940758
-1130779.156046,15,4.026781
-562656.302665,39,4.252861
-463508.797135,5,4.281864
-502041.066399,5,4.313286
-981882.969028,12,4.384086
-616051.251107,7,4.423725
-514140.842444,6,4.456595
-2252235.1979,30,4.631505
-866392.409074,58,4.979537
-671385.896632,8,5.029189
-508909.138175,6,5.067835
-827359.638164,10,5.129004
-510690.758241,6,5.166629
-1202190.489475,98,5.726047
-3156555.310598,49,6.011441
-488062.521211,5,6.036085
-1338883.93079,17,6.138384
-677307.752706,9,6.188655
-1235845.198509,18,6.29635
-502168.146344,5,6.327025
-518920.83885,13,6.405864
-480777.757441,5,6.43409
-504020.399226,6,6.463651
-497373.738676,5,6.496763
-492022.800364,5,6.528488
-764431.206701,9,6.581001
-495922.388772,5,6.6056
-494943.400686,5,6.63661
-637178.826228,8,6.688128
-1055595.039008,16,6.780672
-484343.376919,5,6.809287
-882779.935398,11,6.882623
-368674.148917,11,6.947387
-283503.912469,14,7.026528
-317747.147619,79,8.0989
-1243873.315121,17,8.387198
-808810.17182,10,8.551585
-496494.754862,5,8.637096
-624735.218052,16,8.913737
-192102.07335,29,9.411808
-1626916.338851,26,9.853449
-499895.538188,5,9.944894
-474846.008148,5,10.025376
-502645.526739,5,10.125136
-497822.396253,5,10.2081
-677310.245517,8,10.35544
-1349188.203953,18,10.67515
-474833.05935,5,10.771924
-570776.554607,27,11.255419
-497892.033358,5,11.346718
-914289.349095,12,11.57257
-1452899.879092,29,12.104378
-848764.957775,20,12.476216
-468234.876774,5,12.570944
-497516.407749,5,12.651693
-632083.787711,7,12.776601
-1630111.143411,66,13.995233
-494387.872551,5,14.078592
-1371630.947122,23,14.507267
-486609.357374,5,14.596717
-486627.638534,5,14.68892
-495048.830771,5,14.787814
-491643.126251,5,14.898809
-3334089.626418,57,15.91146
-437142.581539,28,16.381189
-737278.840978,9,16.546468
-500140.032535,5,16.628425
-464816.300225,5,16.717969
-554666.246036,6,16.812616
-248720.946712,36,17.448515
-491027.282044,5,17.54354
-303446.671267,23,17.941846
-491815.105393,5,18.032731
-495098.081805,5,18.129256
-840873.75759,10,18.309422
-1960317.112928,32,18.901901
-473793.687058,5,18.993227
-702393.798178,8,19.13378
-2555279.113238,42,19.921257
-502377.925904,5,20.014931
-1774474.708366,24,20.44898
-1133295.957699,19,20.817947
-492334.207563,5,20.92424
-1239421.94116,15,21.197608
-257458.556596,23,21.627793
-502479.403364,5,21.734828
-1097405.185246,14,21.996993
-484292.342671,5,22.083964
-1147856.218257,15,22.348623
-480255.2061,5,22.440699
-871231.213884,11,22.625353
-704666.943218,13,22.856021
-713719.624035,13,23.089722
-468440.215216,5,23.180478
-308109.356518,13,23.408548
-1241464.853732,21,23.769106
-2570013.290238,34,24.38669
-2290996.525525,38,25.088328
-1771994.765282,24,25.538306
-322700.857237,62,26.656263
-1221572.14425,46,27.49826
-478553.728787,5,27.596272
-475824.5809,5,27.682867
-494244.324701,5,27.778364
-913313.827759,12,27.997316
-259772.235716,30,28.585488
-487596.739664,5,28.67952
-2767877.03662,137,31.10096
-555378.59176,7,31.228565
-490327.188191,5,31.323496
-404489.645859,5,31.405226
-694624.067736,27,31.947399
-983864.880196,120,34.113164
-880484.38242,11,34.306632
-3097013.752051,56,35.281675
-484812.293891,5,35.365734
-1040002.878821,13,35.59823
-499777.811899,5,35.700723
-414997.605487,5,35.790968
-708258.773774,8,35.930264
-488954.115952,5,36.020731
-1133444.957686,16,36.292729
-866258.001045,10,36.479626
-308932.455054,18,36.833661
-768684.219349,9,37.000443
-472591.995097,5,37.091105
-501844.421211,5,37.191384
-722858.300171,21,37.584094
-499993.86766,5,37.675104
-1030987.422294,45,38.464405
-1655564.839239,21,38.837023
-199387.890486,28,39.3375
-482660.642803,5,39.438954
-475855.442062,5,39.521872
-489886.380787,5,39.609438
-485926.643206,5,39.702023
-2608011.96802,115,41.826385
-2733913.95716,75,43.366794
-1031886.024426,40,44.072968
-2971004.889198,165,47.250922
-493933.492703,5,47.356328
-728320.433918,9,47.531929
-872406.983946,10,47.723998
-482672.097742,5,47.816546
-494263.271644,5,47.922602
-501775.513465,5,48.011499
-491434.473502,5,48.105995
-1286130.577209,17,48.416147
-497950.073545,5,48.501369
-790504.896635,9,48.680161
-1122462.427153,120,50.912938
-486927.580781,5,51.002492
-808645.808735,10,51.172288
-1291286.791028,16,51.484647
-427943.335337,46,52.346401
-2715257.982498,215,56.365177
-502573.610062,5,56.470363
-737927.361963,9,56.650641
-494820.871562,5,56.733919
-1800855.031795,250,61.274662
-490996.255557,5,61.367633
-495004.292589,5,61.452565
-503193.200835,5,61.550688
-471018.854923,5,61.630791
-622057.032027,7,61.745648
-493620.717005,5,61.839513
-544925.266233,250,66.667227
-948764.97625,12,66.90096
-790423.155226,9,67.086979
-495504.772713,5,67.181217
-501825.654015,5,67.263581
-2998129.771879,250,71.91775
-1444495.72924,250,76.496339
-522233.825934,6,76.604599
-1962625.973798,250,81.163131
-492186.687837,5,81.2563
-215434.757158,250,85.940914
-529387.784844,250,90.76371
-461477.783347,5,90.860748
-497589.753466,5,90.953726
-110316.631758,250,95.659939
-921387.35161,11,95.851052
-489884.634207,5,95.938888
-770491.876318,9,96.089342
-495654.253127,5,96.19124
-642412.38692,8,96.344765
-485578.096329,5,96.4517
-777135.457311,9,96.611753
17199.695391,250,101.276762
-500056.564105,5,101.374163
-139966.166531,250,105.890229
-566969.034409,7,106.003154
-162275.893435,250,110.774885
171158.799171,250,115.541137
-486353.496457,5,115.623734
-500886.051209,5,115.710303
-1090098.52285,13,115.947556
-674090.265766,8,116.118525
-989289.103125,13,116.349072
-501056.18287,5,116.439636
-95502.992831,250,121.218776
