#{"t_start": 1761969803.018369, "env_id": "PulleyEnv-v0"}
r,l,t
-477884.119283,5,1.367254
-882211.211523,10,1.427653
-449149.572481,30,1.60095
-481765.970232,5,1.628458
-591669.079709,16,1.725322
-1074469.171238,14,1.813006
-495301.147094,5,1.843432
-3362250.147327,55,2.190826
-1880754.665384,26,2.368019
-483092.540424,5,2.400112
-493849.690767,5,2.429843
-495310.732345,5,2.459688
-502677.709331,5,2.491693
-1202161.503806,15,2.581846
-563960.705909,7,2.623995
-1415513.176489,18,2.728083
-1124409.116855,14,2.808493
-1175274.600337,15,2.902267
-1292171.793884,28,3.062714
-842801.769494,10,3.121934
-2307798.304102,49,3.415658
-500682.577476,5,3.443611
-484063.103454,5,3.473251
-454779.88969,5,3.503689
-591698.175956,7,3.546595
-1068032.340731,24,3.685481
-363855.661529,26,3.837348
-463847.396734,5,3.869818
-481076.619073,5,3.898052
-496466.469729,5,3.927571
-1165770.866617,15,4.013612
-436532.564422,26,4.164838
-701037.480794,53,4.473815
-1370733.551988,36,4.682668
-845206.777886,25,4.831107
-352991.865665,21,4.960208
-493928.252583,5,4.990606
-502594.079842,5,5.020975
-481330.780022,5,5.055309
-494068.349603,5,5.084354
-517749.651351,6,5.120137
-754701.787678,48,5.399585
-490076.812335,5,5.429815
-545040.355505,14,5.505347
-790048.683359,9,5.555255
-725979.620006,51,5.849721
-485720.47332,5,5.883009
-811041.843622,10,5.94157
-502326.56161,5,5.97068
-4136520.854931,65,6.348054
-1104990.181421,14,6.431667
-624022.084813,7,6.475231
-1441489.085923,21,6.593783
-491793.070581,5,6.625967
-478677.0848,5,6.654874
-486657.749461,5,6.689229
-1100136.662563,13,6.76633
-501915.20505,5,6.797858
-516206.769079,6,6.825247
-475884.28523,5,6.863053
-585629.625784,7,6.906761
-1426358.381259,20,7.016827
-587774.51859,7,7.058782
-480981.701398,5,7.082561
-999493.360134,13,7.158166
-1053468.106317,21,7.500718
-623236.57763,7,7.622629
-501521.139559,5,7.714074
-425489.387391,41,8.413594
-977545.2547,23,8.797869
-633524.771734,27,9.263576
-2346382.973097,32,9.808944
-469843.299021,5,9.899871
-479175.534714,5,9.997493
-971291.796683,21,10.365298
-501567.762887,5,10.46425
-485273.259537,5,10.549019
-1800192.341977,35,11.180364
-490457.906251,5,11.271442
-891767.019153,18,11.609747
-2741397.566611,37,12.283561
-466137.345184,5,12.3846
-499155.52451,5,12.474045
-983335.956898,12,12.693677
-503846.310343,5,12.78409
-1232072.99031,16,13.078067
-495565.013987,5,13.16666
-790699.210427,10,13.355802
-490639.59495,5,13.445233
-492669.999658,5,13.53902
-464134.404581,5,13.621677
-1394479.534483,19,13.976595
-545087.526254,6,14.074423
-476247.508061,5,14.165279
-475398.907655,5,14.25714
-499097.470449,5,14.361208
-913071.083281,11,14.562366
-1034283.904039,35,15.236083
-497879.2627,5,15.324905
-240599.460452,17,15.618089
-704983.333297,8,15.755684
-486960.491455,5,15.844403
-815515.700501,10,16.010462
-1352750.021764,27,16.469977
-521517.602772,12,16.672935
-502226.583252,5,16.769016
-976792.577324,13,17.003039
-492876.931377,5,17.090822
-298964.786889,19,17.413321
-482279.462886,5,17.495492
-388930.109309,29,18.013386
-518794.964441,6,18.127202
-675774.027612,8,18.259836
-948408.575204,11,18.474105
-751875.454543,9,18.637082
-1026785.335574,13,18.881899
-663288.359128,8,19.024726
-167970.976812,18,19.358413
-1452853.302343,22,19.767567
-482876.868967,5,19.859241
-1209932.02268,44,20.686831
-480701.332519,5,20.784765
-502994.600967,5,20.88192
-628423.021722,7,21.012048
-496068.052164,5,21.102274
-2561219.069023,40,21.864556
-476594.13768,5,21.959597
-1421318.300233,41,22.68751
-983402.914649,18,22.996357
-489283.497188,5,23.088225
-2147495.040031,38,23.756877
-475437.714411,5,23.846175
-477449.323751,5,23.93753
-523366.13535,6,24.039021
-491799.585935,5,24.137049
-2241761.868053,71,25.447526
-475164.123655,5,25.534136
-480545.822419,5,25.625131
-746476.767319,9,25.785538
-501681.404694,5,25.886918
-488361.837883,5,25.968443
-502331.367381,5,26.067172
-627393.374885,8,26.20437
-477909.631423,5,26.302514
-1072429.708915,13,26.529377
-736581.447897,9,26.68427
-479449.259945,5,26.776068
-493778.263936,5,26.867952
-490450.810348,5,26.96001
-1858962.724382,28,27.484514
-928497.773001,74,28.862075
-1777300.219751,25,29.301891
-811796.623986,10,29.470659
-502879.021352,5,29.563174
-943524.305792,127,31.878783
-813190.391909,11,32.084547
-499772.803693,5,32.161787
-1207194.364794,18,32.488809
-2156414.794833,89,34.108994
-502746.707926,5,34.20049
-1989856.547395,29,34.718261
-4137716.370701,99,36.451799
-1209181.895305,62,37.630885
-578189.642303,7,37.757314
-891754.621559,11,37.960081
-458102.57134,5,38.048983
-477088.78283,22,38.432559
-859890.807091,27,38.899657
-1432476.165064,57,39.937117
-487904.800608,5,40.028476
-969506.22759,12,40.257565
-553583.894547,6,40.395782
-477983.227793,5,40.500807
-4160435.299745,113,42.684578
-216318.648862,13,42.945408
-2966677.744826,139,45.521454
-751667.169367,9,45.691615
-1116804.050825,14,45.937975
-473795.864683,5,46.037861
-490680.726887,5,46.127479
-1621944.42476,84,47.792052
-471322.937682,5,47.899598
-491292.382835,5,47.996886
-344413.426835,23,48.417511
-387118.04278,58,49.546248
-494579.239284,5,49.630378
-2074955.443225,141,52.219901
-485155.400316,5,52.309837
-238044.557954,36,52.959968
-494954.337735,5,53.046482
