#{"t_start": 1761518847.1120234, "env_id": "PulleyEnv-v0"}
r,l,t
-79134.989744,35,1.356037
-135198.822972,1,1.356037
-91193.508951,27,1.508603
-112812.209234,25,1.661811
-89943.107653,61,1.994752
-90237.615506,19,2.093686
-101667.826901,81,2.539767
-123789.583833,36,2.725185
-81845.861951,42,2.948381
-135087.006931,1,2.951933
-146022.184827,21,3.061116
-149864.358333,1,3.071413
-86911.176623,44,3.29716
-84225.857704,43,3.519583
-112493.803951,66,3.891011
-100129.087112,38,4.10499
-85672.301189,37,4.309458
-93935.862159,16,4.388077
-94311.140989,46,4.642991
-43915.218755,137,5.364101
-110977.086877,32,5.545176
-81359.719318,43,5.775752
-152793.143808,1,5.780128
-92577.740849,19,5.892034
-95061.481866,13,5.972423
-74417.343015,67,6.340904
-87581.605155,34,6.576979
-41127.040107,94,8.125841
-91317.55384,40,8.838598
-137566.44155,1,8.858822
-104265.91302,22,9.259746
-86330.938606,38,9.921113
-126169.720329,1,9.941159
-171440.820254,2,9.97634
-94584.169849,30,10.466791
-79696.746001,40,11.115331
-152250.985009,27,11.622557
-91792.958994,21,12.010845
-117568.542932,1,12.029758
-126368.204941,1,12.047514
-88388.202229,21,12.408575
-182156.858895,3,12.462727
-117550.941226,1,12.484471
-126369.475657,1,12.500408
-134987.323,1,12.518874
-86254.195475,23,12.938419
-85594.217547,22,13.347523
-95955.237283,12,13.571223
-134159.186399,27,14.066093
-90704.095876,14,14.317603
-134193.7471,1,14.329191
-106818.255235,31,14.889576
-103370.064603,17,15.203098
-87849.307241,23,15.598927
-128940.291743,1,15.629313
-91128.095603,38,16.357279
-56566.244142,74,18.094811
-87287.683847,31,18.695404
-105067.727698,61,19.708533
-84843.807972,18,20.011928
-111995.545146,25,20.449048
-68772.098345,58,21.51281
-115384.737935,103,23.253293
-126271.596839,1,23.274419
-94434.629232,21,23.674906
-117568.184956,1,23.688083
-143818.689176,1,23.708536
-22696.822066,132,26.152812
-151184.997503,1,26.173226
-141890.686743,1,26.194007
-64607.481476,43,26.979244
-111419.849573,65,28.139267
-111180.137931,57,29.187351
-126301.574898,1,29.206735
-117604.983631,1,29.223011
-93449.348753,16,29.504044
-96208.722046,12,29.72677
-64353.636345,70,30.968823
-95568.514443,20,31.315935
-126269.722692,1,31.336108
-117546.247089,1,31.356625
22667.361903,233,35.559422
-71273.295825,67,36.702954
-135097.453347,1,36.713027
-28304.261549,106,38.659703
-56832.246926,113,40.538203
-87165.765598,70,41.726386
-131009.611082,30,42.234294
-143408.343504,1,42.252913
-126209.023293,1,42.273546
