#{"t_start": 1761518847.1076944, "env_id": "PulleyEnv-v0"}
r,l,t
-137784.478138,1,1.164657
-89504.10889,24,1.302401
-77160.847293,49,1.587363
-135098.820735,1,1.595587
-87217.046415,67,1.959218
-87562.365463,25,2.094008
-143814.142629,1,2.098015
-59024.83738,60,2.422519
-135134.424087,1,2.436089
-87704.23793,43,2.655573
-119580.969291,20,2.767584
-155144.33037,1,2.775086
-79036.240257,38,2.972962
-74589.034221,48,3.227988
-99572.091781,27,3.365981
-88547.194941,23,3.492047
-135092.395123,1,3.492047
-92117.724086,31,3.665698
-97678.800864,45,3.912156
-94904.713969,30,4.077842
-135004.572249,1,4.077842
-155266.939098,1,4.091339
-115135.667516,54,4.387028
-66180.755163,60,4.704947
-100271.793916,12,4.783396
-154199.630768,1,4.783396
-47177.620372,106,5.352368
-102255.304007,37,5.549505
-144026.575097,1,5.549505
-86636.151922,26,5.686252
-82449.051878,41,5.906873
-99574.16635,66,6.284111
-117565.107866,1,6.299123
-111929.130634,33,6.530076
-110279.640362,28,6.868098
-85050.034638,37,7.462092
-67314.616885,60,8.486936
-101721.152515,28,9.018026
-126482.954141,1,9.033999
-155434.585588,1,9.063651
-156858.885497,1,9.084898
-126387.759778,1,9.105213
-117570.041033,1,9.125285
-90208.645929,35,9.697712
-155282.117707,1,9.717803
-135094.349895,1,9.738444
-98064.650996,10,9.920317
-126388.952553,1,9.943817
-135092.725722,1,9.96043
-80112.012983,33,10.505138
-93456.777993,16,10.770699
-126304.580109,1,10.780719
-135082.651895,1,10.800823
-135092.952623,1,10.821246
-92263.08247,20,11.134795
-135105.337248,1,11.156551
-130970.066936,24,11.607329
-92253.207085,15,11.886858
-96060.429892,26,12.347185
-83393.907372,25,12.788
-137465.426771,1,12.808628
-102384.087146,36,13.480616
-92997.539821,17,13.807801
-93715.483176,14,14.05433
-155293.758083,1,14.070422
-97074.841386,12,14.284253
-69306.043823,64,15.43206
-73811.485118,46,16.285783
-89148.414475,40,17.341527
-135253.679471,1,17.359686
-51396.242427,104,19.292724
-91110.348216,38,19.955674
-97715.9554,37,20.594838
-85488.285756,17,20.901277
-83852.514557,21,21.304913
-95589.656231,13,21.534875
-86269.282253,37,22.152315
-118369.255343,17,22.434467
-111939.515517,51,23.31791
-64788.070248,103,25.212255
-93147.962864,15,25.496036
-83322.26554,34,26.132584
-117567.001346,1,26.149114
-117090.876785,16,26.451653
-110374.398656,27,26.934773
-117577.104272,1,26.961513
-101520.953163,17,27.248768
-78583.656149,34,27.891562
-68236.22911,53,28.829097
-117932.118115,23,29.264153
-112594.749803,16,29.549331
-91141.607801,29,30.077079
-76012.96625,37,30.739873
-95297.188394,20,31.078506
-95975.460358,46,31.87824
-126263.812439,1,31.900282
183190.159114,250,36.383268
-87626.305389,67,37.544556
-85143.688633,29,38.085127
-117446.881657,1,38.101873
-85651.331256,61,39.19605
-59188.41431,83,40.583267
-155301.51593,1,40.603388
-91873.022327,102,42.333653
-142853.03593,1,42.351651
-152423.154017,1,42.372228
-73758.692851,66,43.425252
-63483.790688,59,44.428704
-76296.005029,41,45.104711
-154624.635915,1,45.124733
-87876.056684,23,45.528979
-117487.290166,1,45.548598
-36191.895697,113,47.551222
143835.675704,250,51.966591
27496.419567,222,55.707151
-168421.828104,2,55.73515
-180108.178297,2,55.778014
-17053.15423,218,59.550536
-78068.437874,44,60.306266
-151358.884115,1,60.326693
170042.152496,250,64.789449
133662.509412,250,69.223182
163827.920292,250,73.650275
151274.543922,250,77.876388
-58292.245002,88,79.486659
-37273.622361,108,81.446186
141474.66458,250,85.802512
96584.615129,250,90.269864
-29383.533436,104,92.13189
143169.98837,250,96.69722
9826.321729,185,100.004254
-80819.451874,81,101.461427
19956.764854,219,105.366242
-39871.245603,171,108.52568
-1953.716092,187,112.037782
149115.433707,250,116.782362
-6540.23183,159,119.826048
-30731.242028,144,122.583416
65974.964093,250,127.320845
139757.374624,250,131.965591
891.972946,201,135.565741
-33350.297983,127,137.862329
120101.187269,250,142.259497
-27018.598317,156,145.059118
17167.389289,227,149.25563
-68561.002179,66,150.610965
-126282.492555,1,150.629321
153277.68541,250,157.272081
-68230.842709,73,159.17454
40399.549851,233,165.461487
-52476.621639,102,168.15997
142702.336151,250,174.190825
-46812.371466,96,176.486984
-66286.881437,77,178.326805
-126364.760482,1,178.35531
-76617.509469,70,180.07934
-117563.986531,1,180.096244
-40266.696026,94,182.164606
-117549.923925,1,182.178654
-55205.515327,75,183.933648
-135094.378908,1,183.951165
-163157.676545,2,183.998982
3304.346801,172,188.029414
-32896.908723,113,190.693412
-95025.645949,32,191.480716
-53116.578074,115,194.300023
-136418.818833,1,194.322003
-74834.359131,50,195.488148
-105942.27052,33,196.276669
-63069.648892,75,198.030333
-135185.903971,1,198.072386
-80782.396591,56,199.410133
-137542.808523,1,199.447883
-125681.12464,60,200.864803
-143846.523372,1,200.882214
-60401.778297,70,202.457389
-63717.284311,45,203.502549
-135098.945756,1,203.522704
-126369.528334,1,203.54649
-62149.985253,61,205.013772
-68649.321117,50,206.07761
-54180.856206,73,207.851661
-48378.327899,97,210.160414
-60012.694723,67,211.674172
-220704.604121,3,211.749808
-96397.927591,58,213.12911
-139777.488209,1,213.146166
-112612.841283,62,214.680617
123159.946566,250,220.950816
-60458.15473,70,222.566658
-90539.174693,101,224.831296
-66995.833811,106,227.333169
-111597.946828,43,228.423973
-47054.077643,146,232.13466
-91363.835379,101,234.798379
-135110.800119,1,234.82894
-135089.63535,1,234.865455
-136065.69512,1,234.901726
-77258.838021,58,236.32279
-71239.849391,88,238.54989
-137616.705606,1,238.57683
-126268.067773,1,238.600886
-15742.162289,191,242.368202
-60229.140695,83,243.817104
-140037.355924,47,244.673653
-94516.198257,30,245.227924
-90165.493802,33,245.853953
-74193.147613,83,247.264147
-164362.859144,2,247.306103
-31298.078432,123,249.42327
-114547.270526,34,249.99808
-73289.65595,61,251.069332
-65175.05966,122,253.257496
-155189.247415,1,253.284542
-56487.173736,104,255.963356
-117556.037846,1,255.978281
-75233.726844,46,257.123117
-89528.789577,34,258.081676
-126263.357023,1,258.108456
-77661.571334,34,259.106607
-117652.86695,1,259.134218
-61688.470624,75,261.167309
-59054.329987,84,263.460135
-101109.804879,98,265.830092
-167814.748971,2,265.877357
-156974.025764,2,265.929159
