#{"t_start": 1762080868.040623, "env_id": "PulleyEnv-v0"}
r,l,t
-1688329.918462,15,1.572335
-965962.750603,5,1.601915
-1119912.988072,5,1.632598
-3212235.143,13,1.707821
-1215381.54355,5,1.737405
-1020207.577692,9,1.78925
-2152253.011006,13,1.860236
-5391784.528478,52,2.149871
-3820902.139154,21,2.276654
-3536456.431326,26,2.424545
-857905.608735,5,2.453045
-1042723.637765,5,2.484481
-3027789.950568,20,2.602403
-1263608.12161,9,2.654801
-5014911.883305,36,2.862227
-10860279.590293,103,3.456996
-5176589.69739,26,3.603963
-5374071.405934,27,3.760556
-1234588.383095,7,3.805004
-776470.476654,5,3.832915
-1498574.416293,7,3.874098
-1006426.791776,5,3.901756
-1501149.784408,9,3.954593
-2310578.34301,22,4.078338
-1049055.471899,5,4.107641
-2738858.848002,24,4.244841
-1076004.85954,5,4.274267
-5179764.396594,30,4.445611
-18780221.54107,173,5.44954
-1141367.029072,5,5.478686
-3100532.894224,35,5.682528
-8353523.219038,77,6.124883
-1782533.405273,11,6.189619
-2741138.928487,16,6.281908
-1920405.886597,5,6.310085
-1340233.656113,7,6.353737
-1310840.669906,5,6.382063
-1106153.354877,5,6.410714
-2886979.959207,24,6.546011
-3439151.676536,22,6.684763
-4485356.734782,29,6.847715
-1376501.27911,10,6.905972
-1296756.490644,9,6.958996
-2918537.538958,19,7.065068
-608182.202544,5,7.09464
-3217001.043997,42,7.658479
-1308938.299907,26,8.11255
-2501103.004527,17,8.399252
-3560456.155642,52,9.313897
-7012544.513931,66,10.530945
-1200779.31787,5,10.626727
-4662364.780594,34,11.247346
-2596605.768006,18,11.578468
-1000265.76295,5,11.666208
-3411462.959096,21,12.03912
-1311001.161398,5,12.12779
-2495792.77692,19,12.497706
-1203898.479322,5,12.604457
-3248741.629803,21,13.061171
-2074521.523871,11,13.275841
-1942323.422245,8,13.421608
-1245765.205426,5,13.525446
-715579.818179,5,13.622694
-1581680.009225,5,13.711737
-1453329.650508,6,13.826531
-2126466.544786,14,14.075959
-1484601.956402,7,14.202735
-1362469.677752,5,14.300839
-711402.312873,5,14.396865
-6865197.797061,93,16.188199
-1219810.273617,5,16.289059
-1008034.992116,5,16.381133
-3833472.326576,22,16.827864
-2601036.363521,8,16.9716
-3110729.991451,27,17.467489
-2722269.688883,16,17.770337
-8903634.397818,64,19.079344
-2079916.990672,13,19.352356
-1006587.308005,5,19.451683
-2959007.851252,13,19.699519
-595819.116087,5,19.787397
-4257697.625944,20,20.162949
-572601.485908,5,20.257499
-12879157.854217,83,21.960504
-1543485.371583,5,22.075392
-3044701.43373,22,22.516782
-2107699.594799,10,22.719959
-1741090.657727,5,22.813973
-9072101.388136,72,24.205043
-1808081.745642,9,24.384663
-4491383.195342,28,24.95106
-2834660.287826,20,25.362785
-1346961.329603,5,25.461789
-917363.655611,5,25.556009
-4562021.021009,30,26.127424
-2752738.658448,19,26.486835
-7538669.694641,39,27.263088
-3569627.455554,29,27.833957
-3468332.87322,29,28.377716
-1013334.542744,5,28.476024
-1046355.592683,5,28.570906
-981745.812275,5,28.667301
-795120.995812,5,28.770272
-752116.2514,9,28.939399
-858856.571737,5,29.034971
-1147264.735352,5,29.131596
-992046.537192,6,29.252111
-6204016.856675,54,30.290508
-1707397.892265,5,30.393656
-2415839.614609,13,30.654336
-1058426.53813,5,30.758679
-8349615.69588,61,31.937995
-889210.493225,5,32.048999
-1604708.995166,6,32.171758
-2012894.703598,12,32.401351
-7498679.806833,69,33.753475
-1535520.447996,9,33.935208
-4963721.598283,36,34.63053
-5469580.012812,44,35.478652
-2307968.199001,27,35.997606
-635205.524181,5,36.094599
-1038233.235739,5,36.19522
-4651120.85146,37,36.92999
-873466.048635,5,37.035872
-4885526.960557,46,37.923712
-1502008.395875,9,38.091391
-4950151.459901,40,38.918542
-5859291.544411,47,39.794199
-748375.3343,6,39.915386
-2832729.883847,16,40.225242
-918515.211622,7,40.361445
-3387865.887714,22,40.793654
-3167896.65194,27,41.289553
-2154841.953013,18,41.622422
-896399.264371,5,41.724504
-21536585.345474,200,45.574143
-522812.192917,5,45.669095
-829977.770659,5,45.773242
-2440941.460357,17,46.115022
-790038.651175,5,46.215114
-1311011.416136,5,46.319633
-1387635.747938,5,46.410581
-10237124.338324,69,47.716002
-810667.876682,5,47.810885
-10439063.934264,111,49.913845
-1579870.036043,9,50.09953
-2634991.487684,16,50.418317
-1202369.99376,5,50.522351
-16292975.941629,142,53.21968
-2309381.227802,16,53.525612
-626765.471035,5,53.624096
-552117.330689,5,53.714365
-661037.776862,5,53.810939
-1204619.277449,5,53.900561
-1149153.303905,5,53.995308
-1773250.038748,13,54.24773
-1614319.269521,9,54.413104
-1482361.800682,5,54.503567
-988298.839864,5,54.594203
-767532.017539,5,54.685971
-1232225.858831,5,54.778543
-692230.508579,5,54.872147
-2622083.399238,15,55.144283
-799724.99817,5,55.240749
-9982180.94545,105,57.244436
-2239934.566774,16,57.546363
-7567003.029848,51,58.477379
-9247460.79242,95,60.242028
-3413284.814193,17,60.562504
-8267273.796305,77,62.000487
-866234.991864,5,62.099138
-17897167.754247,116,64.237665
-1508749.843291,9,64.408424
-875313.965691,5,64.497852
-1205196.788611,8,64.663354
-18869480.601156,250,69.374256
-5445958.129388,48,70.261233
-873555.680938,5,70.353594
-17700610.104151,250,75.040382
-816217.139736,5,75.131634
-582443.362044,5,75.226541
-671177.847598,5,75.320108
-707793.646807,5,75.413644
-601626.028782,5,75.508749
-1043024.629584,10,75.690048
-1038330.724756,8,75.841759
-608331.507281,5,75.929276
-10708162.30251,250,80.655001
-12790499.657054,250,85.307102
-9904661.091852,250,89.936214
-1274003.515041,8,90.08265
-1002422.887802,7,90.213443
-631942.588509,5,90.307924
-745131.715784,5,90.400978
-6807044.9566,250,95.049891
-5690091.259176,250,99.70489
-6051887.962806,250,104.281597
-5222628.453584,250,108.835984
-2780394.640783,250,113.479378
-974108.97318,8,113.631328
-2351428.792706,250,118.215869
-5743959.797798,250,122.785904
-1479195.02681,250,127.426301
-2364493.894564,250,131.97108
-536021.758293,5,132.072683
-2031282.477412,250,136.660495
-546022.609945,5,136.761331
-570967.929663,5,136.853317
-1012728.239227,250,141.65841
-3199702.104923,250,145.800917
-865055.300804,10,145.969557
-957598.506775,250,150.478506
-544454.739648,5,150.578227
-1565639.217244,19,150.9209
-538411.244263,250,155.552667
-866405.776745,250,160.355946
-501651.572312,5,160.457701
-650663.146551,7,160.582458
-951437.210294,11,160.783902
-777903.977396,9,160.959065
-2650629.034087,250,165.642781
-1640829.346312,250,170.286958
-1452119.028886,19,170.645836
-714571.234789,8,170.804106
-469993.501152,5,170.893602
-508884.970748,5,170.989573
-699432.517171,9,171.150248
-546133.409333,5,171.232917
-506255.892282,5,171.325938
-862080.599884,250,176.322303
-162231.420546,250,181.373134
-5804.00267,250,186.533585
-2266217.629138,250,191.478511
-523859.941029,5,191.570258
-513343.935163,5,191.67168
-485587.444549,5,191.77215
-134977.727358,250,196.690301
-520716.603625,5,196.793343
-697334.933886,8,196.955983
-584087.224402,6,197.081265
-951485.952714,12,197.336849
-1846087.601437,250,202.171024
-2834907.544479,250,207.255922
-513006.28985,5,207.358428
-776812.161126,9,207.523645
-2395982.916631,34,208.221641
-485276.534667,5,208.320688
-481854.66467,5,208.431394
-1065418.803613,13,208.687591
-30802.4615,250,213.646816
-774663.07586,9,213.839952
-670331.10064,5,213.952028
-506180.744915,5,214.050817
-473739.574067,5,214.15224
-494576.889325,5,214.253345
-1141558.775526,14,214.543859
-2058118.497366,27,215.072481
-786593.434876,9,215.246559
-493077.719476,5,215.343507
-496879.3512,5,215.444261
-914503.537026,250,220.508247
-96189.520216,250,225.519864
-381155.041166,250,230.637695
-498542.281664,5,230.740857
-291899.116589,250,235.845796
-3269166.46522,250,241.024619
-3336680.201558,250,246.08085
-3881817.020879,250,251.140066
-166186.329398,250,256.149565
-875726.47996,11,256.368769
-510073.825567,5,256.470537
-507619.219745,5,256.574199
-992808.211014,12,256.806191
-3074466.652158,250,261.833545
-487607.372706,5,261.939058
-776032.800515,9,262.117535
-513122.676225,5,262.224151
-2241273.320353,250,267.157771
-172832.304791,250,272.201233
-703624.368342,8,272.376544
-585759.736043,7,272.541588
-509440.02729,5,272.6466
-497696.387361,5,272.754129
-501011.274358,5,272.859951
-862679.287245,9,273.042512
-490463.04483,5,273.145611
-1059064.938817,13,273.408363
-2092092.151014,250,278.550689
-494410.984544,5,278.653338
-481496.208251,5,278.76589
-505436.779221,5,278.861591
-1877863.846887,250,284.051953
-559872.973081,6,284.154467
-1199538.602062,13,284.388952
-2655790.357561,250,288.755029
-502862.384038,5,288.856819
-987829.743598,250,293.298854
-66754.15586,250,298.082574
-27537.555908,250,302.922508
-1187897.853735,14,303.192472
-1407420.650651,250,308.120463
-543849.382876,7,308.264802
-3840282.698271,250,313.103345
-4327886.324804,250,317.998954
-803086.870309,10,318.199803
-775531.583563,250,323.112045
-883401.316343,11,323.336567
126422.059104,250,328.123242
13221.618334,250,333.060859
-502468.255293,5,333.15116
-502022.899222,5,333.246133
-548917.468557,5,333.343814
-496190.886546,5,333.446042
-496682.868961,5,333.54385
-502124.316913,5,333.648588
-2605012.583838,250,338.550337
-1198963.887291,250,343.47018
-475150.004311,5,343.575376
-2937499.145436,250,348.434033
-128233.327077,250,353.350989
18092.555284,250,357.987904
374308.759212,250,362.519264
-1790066.297289,250,367.403498
