motor_position,pwm_value
-48.06787109,80
-5.936035156,82
35.921875,84
83.09716797,86
132.9091797,88
176.61279296875,90
198.1240234,92
242.26708984375,94
263.03125,96
292.97998046875,98
315.56787109375,100
357.18408203125,102
378.3876953,104
396.11962890625,106
412.1376953,108
440.6142578,110
457.0058594,112
461.77392578125,114
474.78173828125,116
501.5664063,118
516.09033203125,120
529.4277344,122
557.2890625,124
591.9619141,126
616.0439453,128
623.00927734375,130
666.42724609375,132
684.5546875,134
721.3808594,136
738.67333984375,138
751.98876953125,140
770.75341796875,142
787.45263671875,144
799.93310546875,146
802.6357422,148
804.59130859375,150
819.92822265625,160
865.5654297,170
925.0673828,180
979.22998046875,190
1031.107422,200
1081.49072265625,210
1104.69384765625,220
1131.302734,230
1149.47412109375,240
1160.63623046875,250
1171.97412109375,260
1184.23486328125,270
1194.78173828125,280
1200.01123046875,290
1212.8212890625,300
1220.44580078125,330
1240.1552734375,360
1257.40380859375,390
1273.5537109375,420
1285.70458984375,450
1294.779297,480
1302.2060546875,510
1308.6220703125,540
1313.236328,570
1317.9384765625,600
1322.22314453125,630
1325.82666015625,660
1329.847656,690
1333.56103515625,720
1336.527344,750
1339.076172,780
1341.4052734375,810
1343.3388671875,840
1345.755859,870
1347.75537109375,900
1349.73291015625,930
1351.84228515625,960
1353.578125,990
