motor_position,pwm_value
-0.033203125,80
17.45703125,82
22.29101563,84
58.72167969,86
105.8310547,88
125.71630859375,90
155.29150390625,92
169.5957031,94
189.4150391,96
222.0664063,98
253.9267578,100
286.0068359,102
303.2773438,104
330.72119140625,106
352.0566406,108
353.70458984375,110
369.48095703125,112
395.7382813,114
412.02001953125,116
419.13916015625,118
433.50927734375,120
450.29638671875,122
465.171875,124
477.71826171875,126
488.1113281,128
515.3134766,130
520.43310546875,132
542.62548828125,134
550.57958984375,136
583.3847656,138
605.8847656,140
616.14599609375,142
659.9375,144
664.2441406,146
695.2695313,148
696.12646484375,150
712.38623046875,160
783.6875,170
841.98095703125,180
893.17724609375,190
974.6738281,200
1027.38623046875,210
1064.60791015625,220
1088.03076171875,230
1113.804688,240
1136.9638671875,250
1153.970703,260
1172.339844,270
1187.25927734375,280
1200.728516,290
1221.44873046875,300
1246.255859,330
1279.10498046875,360
1300.41845703125,390
1322.2373046875,420
1335.88232421875,450
1347.8134765625,480
1356.14111328125,510
1363.6337890625,540
1370.2255859375,570
1376.26806640625,600
1380.70654296875,630
1385.650391,660
1390.6162109375,690
1395.12060546875,720
1398.15283203125,750
1400.9873046875,780
1403.7998046875,810
1406.1728515625,840
1408.4580078125,870
1410.3037109375,900
1411.8857421875,930
1413.248047,960
1415.1376953125,990
