motor_position,pwm_value
-4.115722656,80
45.60839844,82
145.1005859,84
201.6582031,86
236.1552734,88
259.1826172,90
270.5205078,92
291.2626953,94
311.8291016,96
326.1992188,98
359.48779296875,100
405.71826171875,102
424.65869140625,104
471.06494140625,106
504.55126953125,108
523.88720703125,110
554.64892578125,112
570.4033203,114
586.8388672,116
604.0654297,118
614.28271484375,120
619.60009765625,122
636.87060546875,124
650.97705078125,126
653.08642578125,128
684.72705078125,130
701.4921875,132
717.02685546875,134
734.47314453125,136
750.82080078125,138
767.8056641,140
799.2705078,142
812.7177734,144
827.46142578125,146
832.95458984375,148
849.5439453,150
863.7382813,160
913.81396484375,170
946.28955078125,180
971.7119141,190
988.9384766,200
1011.32861328125,210
1034.00439453125,220
1045.2763671875,230
1063.40380859375,240
1075.642578,250
1090.12255859375,260
1102.097656,270
1110.4912109375,280
1120.4228515625,290
1126.64111328125,300
1135.78173828125,330
1153.97509765625,360
1165.5107421875,390
1174.89306640625,420
1182.7373046875,450
1187.76904296875,480
1192.361328,510
1198.25,540
1202.3369140625,570
1206.31396484375,600
1209.17041015625,630
1212.02685546875,660
1214.5537109375,690
1216.50927734375,720
1218.26708984375,750
1219.98095703125,780
1221.73876953125,810
1223.05712890625,840
1224.41943359375,870
1225.408203,900
1226.66064453125,930
1228.06689453125,960
1230.26416015625,990
