#{"t_start": 1761797350.9320965, "env_id": "PulleyEnv-v0"}
r,l,t
-156244.974064,51,2.060362
-1054100.180726,52,2.435309
-79209.084063,57,2.926523
-190409.504863,23,3.123632
-273343.11107,6,3.171253
-817923.133688,29,3.437039
-440914.957436,61,3.90929
-332623.987269,10,3.989192
-724165.313619,27,4.224093
-91673.249025,18,4.388872
-873926.334324,67,4.93746
-86130.318319,51,5.359303
-614378.777939,23,5.561949
-214968.934769,56,6.06907
-234044.862611,6,6.115649
-429759.16136,30,6.363334
-1185424.677772,87,7.090107
-685671.7239,34,7.393556
-622443.245775,19,7.546692
-1057670.930137,59,7.983666
-300356.972578,7,8.045476
-236131.664196,5,8.108148
-429670.828673,12,8.236811
-251171.471465,5,8.283627
-536921.762261,22,8.471492
-524609.016434,16,8.599425
-474806.364035,28,8.827477
-318559.953969,13,8.952931
-84039.334955,48,9.358268
-497335.154048,40,9.703676
-491718.570826,26,9.965115
-115585.69105,40,11.181154
-118316.459528,37,12.111741
-341857.469917,30,12.737756
-815835.788709,29,13.39821
-285614.286047,29,13.990438
-247231.270832,5,14.09781
-635515.836123,30,14.770944
-486131.170837,14,15.078869
-120308.499391,34,15.849233
-466153.972068,14,16.179435
-414962.713078,89,18.323449
-442340.899603,13,18.698597
-564700.429572,22,19.292962
-95017.931218,32,20.105045
-251445.398993,5,20.217101
-656743.437022,22,20.720402
-169191.917666,35,21.529476
-610639.411168,19,22.099269
-963726.736449,37,23.066316
-198663.574559,30,23.915036
-682034.386087,45,25.015831
-466718.580598,39,26.015815
-557711.382797,17,26.453852
-249819.117262,5,26.571047
-404729.171206,16,26.975343
-101568.539404,15,27.347526
-87037.712672,40,28.536413
-76748.969113,46,29.560751
-51180.001301,64,31.220161
-612744.318846,20,31.648777
-106037.314882,26,32.293623
-164966.94115,56,33.778458
-723628.744469,23,34.316016
-190248.94844,60,35.682076
-71845.363736,59,37.195725
-110739.348502,51,38.674848
-729318.006165,116,41.682722
-588034.946222,20,42.167367
-103156.711368,20,42.766654
-323637.937316,8,42.997311
-1005322.784128,40,44.144021
-190125.116374,11,44.422933
-150367.210994,43,45.572425
104569.231127,250,52.019967
-93718.867636,28,52.838278
-73839.212253,170,56.993314
-83831.399621,67,58.599557
-28151.900138,250,65.130947
-252926.03726,5,65.244529
-7844.111735,147,68.987782
-1035935.931062,250,75.458362
-567569.172912,250,81.881177
88152.52671,250,88.505526
-643969.728571,250,95.028357
-319254.128409,8,95.231199
-854042.451521,250,101.488076
-254934.514263,5,101.586763
118215.044083,250,107.631166
-251277.994652,5,107.733141
-889025.960534,250,114.289537
-252984.885768,5,114.414762
110678.385205,250,121.112852
-446884.63825,13,121.62154
-674465.447063,250,129.474161
42933.82673,250,137.012702
