#{"t_start": 1762506508.7664106, "env_id": "PulleyEnv-v0"}
r,l,t
-97730.95847,15,1.278053
-98878.367977,29,1.444732
-72454.45729,58,1.774077
-107142.492443,46,2.02937
-70631.163694,42,2.246777
-115096.548808,13,2.317057
-40610.287153,138,3.064044
-93103.966681,50,3.327856
-103964.6691,20,3.433605
-100412.272376,9,3.482737
-90278.584428,44,3.714931
-84520.948388,34,3.900255
-134737.118696,43,4.128434
-84871.530655,62,4.457273
-102286.159258,36,4.656049
-148041.991034,59,4.976297
-80915.353691,39,5.189467
-99797.894907,25,5.322288
-77446.233417,43,5.558721
-92136.031692,62,5.928019
-88714.279084,57,6.235748
-124504.041212,46,6.475835
-93723.120801,21,6.58786
-104103.713382,9,6.633748
-75915.83003,128,9.140447
-105774.984098,14,9.390474
-101764.665297,24,9.804599
-90744.535415,45,10.557786
-98987.796863,21,10.916066
-123653.455834,19,11.250443
-116937.719274,65,12.33894
-131701.305207,95,14.014004
-50630.067249,205,17.566934
-108422.224628,31,18.163391
-78449.353463,50,19.01073
-119423.713022,26,19.461671
-131930.952914,90,20.923134
43021.029203,250,25.157258
-1860.17171,250,29.497158
62646.188169,250,34.063771
21722.008346,250,38.419676
122718.179776,250,42.615415
64447.462773,250,46.907633
212007.76265,250,51.438637
102457.052049,250,55.917927
200076.47031,250,60.713322
86826.612264,250,65.47971
217637.865278,250,69.934489
91193.81658,250,74.385408
81795.239212,250,79.123441
142748.172458,250,83.691444
71853.683804,250,88.422778
199843.376687,250,93.185433
121680.210883,250,97.837165
161929.981492,250,102.585189
408608.29053,250,106.95259
249851.340087,250,111.580338
448481.399448,250,116.311878
151647.781146,250,120.680424
350678.696231,250,125.106242
368342.667879,250,129.796781
531824.267594,250,134.108728
488473.605313,250,138.453431
579548.289144,250,142.960336
429731.975391,250,147.740983
611806.339977,250,152.474657
201430.823228,250,157.376326
93641.494597,250,162.205468
872819.380259,250,167.03292
185852.337469,250,171.902782
493250.898094,250,176.755054
1076907.186479,250,181.343362
485349.39618,250,185.95016
1056192.822863,250,190.512864
417886.753599,250,195.090526
442238.865448,250,199.627861
536656.114513,250,204.163645
584749.645267,250,208.769192
913794.409695,250,213.282622
1017148.241007,250,217.813403
997202.849707,250,222.378639
570326.343072,250,226.887247
1690439.128616,250,231.441511
567775.191219,250,236.018481
1823236.906614,250,240.520901
930329.456513,250,245.077909
627236.716387,250,249.642488
1142716.449514,250,254.131603
1150946.610804,250,258.642951
2004273.057649,250,263.200384
2491650.36338,250,267.760636
1361405.393014,250,272.223386
1246313.155425,250,276.833255
1572399.165773,250,281.39606
2379859.541336,250,285.948036
2293963.578028,250,290.556713
2432674.243171,250,295.113094
1955658.726995,250,299.886759
2396601.622041,250,304.699094
3278208.394232,250,309.571102
676396.300632,250,314.49939
2334664.899989,250,319.312486
1722173.656475,250,324.118071
2110631.650932,250,328.944
1655887.41986,250,333.6841
3185391.449066,250,338.648359
1985012.37068,250,343.527218
1991034.104096,250,348.318642
2207798.004862,250,353.156348
1634311.191429,250,357.941986
1937061.626718,250,362.81084
2098887.171356,250,367.633467
1458808.247917,250,372.474319
2068601.233982,250,377.240958
2094993.332943,250,381.966768
2416778.372155,250,386.800587
1267091.679543,250,391.269379
1878746.622684,250,395.568869
2157317.39637,250,399.954492
2372840.028374,250,404.729508
2451439.028755,250,409.456856
1203127.734623,250,414.246448
2388501.207359,250,418.82308
2273433.680608,250,423.430239
2522463.930779,250,428.114352
2407369.279381,250,432.861881
2456026.742471,250,437.454087
2514560.90714,250,442.087142
2675379.283042,250,446.713626
2507942.000821,250,451.267252
2474070.353483,250,455.915378
1662679.894148,250,460.53896
2446418.927784,250,465.165552
2438836.061577,250,469.585655
2699126.086136,250,474.288899
1985356.186482,250,478.878383
2451011.867178,250,483.361533
2665660.326987,250,487.895044
3755622.718236,250,492.5625
2776748.872108,250,497.168065
2095078.217692,250,501.710953
2492653.262734,250,506.372104
2504157.887496,250,510.883356
2524403.728104,250,515.498867
2449243.9193,250,520.108618
2698032.547187,250,524.659892
2477683.349347,250,529.342358
2926677.278521,250,534.004907
2002496.011398,250,538.778659
2518060.51629,250,543.613445
2700641.809154,250,548.531327
2424189.808005,250,553.441396
2715842.442029,250,558.252991
2530424.574937,250,563.113528
3407467.290667,250,567.994979
2456513.668726,250,572.808342
2383254.286512,250,577.674806
3788827.416873,250,582.508706
3519680.702335,250,587.41271
2484122.45887,250,592.264248
1665888.470672,250,597.159334
3773781.911552,250,601.94868
8847334.338539,238,606.602382
2512609.610601,250,611.514755
2420109.771249,250,616.422015
2249392.113235,250,621.335323
2340529.095574,250,626.285498
2561097.429327,250,631.117294
2687351.151744,250,635.963238
2372312.788363,250,640.821863
