#{"t_start": 1762031494.4062018, "env_id": "PulleyEnv-v0"}
r,l,t
-1689356.070961,18,1.453662
-1340908.764087,18,1.557991
-1990588.934838,40,1.789313
-1206080.73693,51,2.087923
-2009741.279607,24,2.226653
-648484.508159,5,2.257737
-2523136.899107,83,2.752992
-969513.898966,12,2.823957
-1071056.909978,22,2.955137
-626109.180012,6,2.990994
-464587.888758,5,3.019799
-528786.898443,5,3.051299
-600612.490775,5,3.080449
-984678.358457,10,3.139179
-1457730.738293,17,3.246122
-521551.714654,5,3.276072
-650303.947081,7,3.320544
-628669.10464,7,3.360471
-1303281.073444,29,3.534531
-1097421.91604,11,3.601421
-619606.868113,16,3.694206
-514279.254303,5,3.722488
-2937334.909458,40,3.959549
-587115.182221,5,3.988192
-738976.969591,8,4.035479
-530523.882327,5,4.064341
-513001.662521,5,4.096266
-979519.670727,11,4.166708
-1073330.814295,11,4.229003
-570726.013681,5,4.259007
-805489.756144,9,4.317309
-533015.816368,5,4.34863
-1797412.409772,38,4.577734
-1015362.818086,11,4.641396
-519201.189697,5,4.669792
-749109.99427,8,4.717463
-566081.436799,5,4.746205
-567080.557982,5,4.775367
-1138620.847366,31,4.966354
-1155046.847258,19,5.075762
-527183.686492,5,5.105072
-571956.602913,5,5.134783
-3699312.617353,50,5.432328
-529280.673615,5,5.46106
-735781.429048,15,5.554034
-550547.384858,5,5.583911
-562554.74925,5,5.612232
-761094.567991,9,5.663991
-4511391.295962,85,6.166108
-1561061.313304,52,6.482303
-716837.069769,8,6.531547
-588817.32705,5,6.559887
-854956.814642,10,6.617069
-513362.023183,5,6.646429
-544152.97007,5,6.677016
-549682.991976,5,6.706843
-1869633.894183,67,7.113099
-874985.780102,36,7.558661
-462920.533164,5,7.655381
-504665.794334,5,7.745805
-2613287.014915,44,8.531418
-2365681.856825,50,9.456131
-2349650.502584,30,10.045393
-651164.308767,7,10.179862
-693934.070241,7,10.309474
-1074835.157953,15,10.587642
-531527.289131,18,10.923079
-499404.709171,5,11.02151
-518465.929142,5,11.118023
-1134344.814166,13,11.366909
-2197759.694756,30,11.922585
-484404.706459,5,12.019302
-2724161.174858,43,12.832233
-402286.51341,18,13.195079
-1296053.074578,15,13.499046
-440998.935024,5,13.60204
-665330.639052,5,13.710721
-2180937.125629,21,14.101056
-346833.327249,10,14.291868
-1466000.574809,27,14.79239
-544805.458418,5,14.88568
-957202.050761,10,15.068555
-2057719.191005,49,15.978218
-505286.964499,5,16.069405
-517081.487451,5,16.16146
-545795.066644,5,16.253049
-738035.592739,7,16.385431
-587404.021611,5,16.487362
-506074.105543,22,16.932398
-1457026.506319,16,17.250903
-601896.483801,6,17.364461
-1258796.770493,13,17.602175
-1386276.148413,33,18.244986
-4372371.098665,68,19.51803
-533395.660443,5,19.615089
-549932.739462,5,19.714537
-1204316.840888,13,19.959695
-753344.559263,8,20.107609
-516779.136763,5,20.205225
-1748949.272009,20,20.610617
-606808.420795,5,20.711917
-776048.466066,8,20.876778
-513869.680135,18,21.221421
-1236361.475035,12,21.45014
-828084.759515,9,21.610203
-538268.240542,5,21.70172
-968594.20269,13,21.940913
-516696.474896,5,22.028952
-588302.33416,5,22.12246
-622101.218028,5,22.21543
-532986.375958,5,22.31019
-532636.641508,5,22.39897
-494797.26275,5,22.4882
-2626629.70066,32,23.106085
-604982.812424,5,23.20098
-1008685.885554,11,23.414215
-572426.116285,5,23.518118
-795328.062581,9,23.685864
-566402.565987,5,23.779336
-902121.394101,10,23.967467
-1304773.492291,15,24.266203
-604842.580342,37,24.994893
-553569.71591,5,25.087146
-2076104.837548,21,25.469705
-1653767.501997,24,25.924728
-682416.997588,7,26.053849
-501159.218052,5,26.138783
-853143.623402,9,26.301739
-360316.795973,17,26.620366
-411750.225567,17,26.938054
-596880.155423,5,27.032973
-1092280.587581,11,27.230973
-824442.923802,10,27.416949
-526766.404338,5,27.508438
-1136065.018603,13,27.747871
-2146460.97664,58,28.872568
-4566334.676231,134,31.357227
