#{"t_start": 1761593212.1276748, "env_id": "PulleyEnv-v0"}
r,l,t
-121899.421657,18,1.290615
-73212.894891,67,1.683409
-90518.329165,31,1.859008
-93931.857721,25,1.992595
-116561.019265,1,2.00263
-101540.319108,24,2.15876
-126375.003435,1,2.165844
-140875.534348,1,2.172863
-126189.233637,1,2.17902
-87074.622652,21,2.349853
-135096.721041,1,2.349853
-89225.418951,20,2.524156
-86826.095468,17,2.675964
-99490.168271,26,2.85374
-150745.451948,16,2.992398
-119226.977348,16,3.107068
-118511.298391,18,3.221169
-117542.114341,1,3.232432
-96871.382227,13,3.324533
-83051.224283,127,4.226714
-83553.672572,30,4.461036
-135101.393828,1,4.469481
-126272.993162,1,4.476908
-117648.8151,1,4.476908
-87714.204572,32,4.725985
-135209.502808,1,4.725985
-40267.39324,108,5.57369
-155524.852588,1,5.585713
-117549.508495,1,5.585713
-126422.989569,1,5.601394
-100935.926478,32,5.820544
-96226.993157,31,6.02594
-93656.478914,23,6.190238
-143811.778315,1,6.196333
-103427.892449,49,6.554033
-66066.339025,64,6.992428
-11200.33255,176,8.304345
-59263.225944,77,10.275156
-134994.31624,1,10.298234
-158135.042599,2,10.366635
-92067.651536,42,11.375539
-140494.951979,2,11.437268
-126982.720328,25,12.048984
-98506.932081,15,12.43738
-117682.451249,1,12.467949
-97274.175149,17,12.881791
-86656.254947,48,14.078164
-92965.671685,24,14.719851
-87847.269061,31,15.507266
-98837.795601,17,15.924266
-93274.117609,18,16.321936
-140496.516002,1,16.333929
-126274.155701,1,16.364714
-126427.749709,1,16.37506
-117206.505601,75,18.093144
-139696.373539,11,18.359064
-111421.91404,31,19.078071
-86933.090709,32,19.8164
-126290.056934,1,19.834547
-110750.811934,24,20.401279
-92927.595124,24,20.977634
-95190.877444,18,21.416302
-54366.116031,79,23.444472
-90104.326888,15,23.79868
-89302.46813,31,24.496655
-118740.343121,43,25.47802
-135084.910259,1,25.503582
-90599.935098,15,25.889666
-93353.600377,22,26.472141
-100329.622272,23,27.053055
-135109.364838,1,27.083271
-112223.666299,16,27.501943
-155436.402331,1,27.520247
-106606.562854,17,27.947648
-81002.848229,63,29.448119
-129783.180644,1,29.483872
-76155.460345,57,30.877964
-73605.527124,47,32.038083
-134695.973817,14,32.372357
-69276.405608,72,34.141656
-106634.878331,39,35.074499
-84086.700119,46,36.153381
-114559.795613,35,37.018896
-135187.54617,1,37.042546
-184331.989813,2,37.088435
-117545.342922,1,37.109218
-149184.083094,18,37.537536
-62871.546635,91,39.892358
-90058.663564,16,40.251468
-126366.401853,1,40.281676
-101422.493384,22,40.885514
-137614.429222,1,40.909703
-92879.522389,25,41.53035
-165712.026101,2,41.602691
-90122.56481,35,42.550058
-81377.772893,37,43.406677
-64389.341729,78,45.203297
-135097.564736,1,45.234069
-61607.044996,58,46.626889
-87500.301334,32,47.32172
-47573.055824,79,49.408762
-117564.811538,1,49.424693
-101196.79255,22,49.941303
-78567.442348,40,50.766795
-78986.381778,91,52.756477
-67061.233435,66,54.283282
-84625.102222,56,55.341592
-98812.111799,11,55.55471
-155327.638416,1,55.571583
-22995.447183,147,58.085346
23516.305941,241,62.033674
-45138.513296,111,63.949005
53837.197771,229,68.001382
-52846.579593,84,69.531793
-126282.86572,1,69.551902
-135220.630119,1,69.563915
-135104.629305,1,69.590249
-12000.550011,239,73.785784
-67874.38464,64,74.835936
-126305.143999,1,74.856142
166753.715631,250,79.174753
147731.846039,250,83.450102
154049.738021,250,89.780834
118073.231547,250,95.844623
30803.173313,209,100.767113
-21853.444938,184,105.113774
172047.399495,250,111.275918
-117653.943988,1,111.316528
101355.132796,250,117.612326
159332.856561,250,123.668212
32641.393596,227,130.117233
165435.310692,250,137.799072
-126269.285606,1,137.826692
113642.345556,250,145.407593
176923.266569,250,152.90377
-163720.064281,1,152.934641
-154380.970429,1,152.965345
53413.681291,249,160.625275
-24142.345901,223,167.670557
-135112.839697,1,167.711328
-44697.908583,121,171.750087
-20966.516539,154,176.640868
-76911.987422,72,178.786235
-143833.279044,1,178.817821
-135221.497075,1,178.846093
-9264.011013,149,182.656789
-143916.477574,1,182.692379
8325.769246,191,187.422211
-46458.945336,96,189.729818
-126303.197409,1,189.750404
-28512.662301,122,192.90994
-22888.551683,135,195.943072
138230.312903,250,202.044045
-80247.709396,80,204.102975
-76704.170915,130,207.223288
-137735.376056,1,207.249886
-43089.383368,93,209.673892
-12706.282517,176,214.103496
-117649.71183,1,214.127823
-39444.893884,138,217.642073
-56635.708662,89,219.816719
-176280.242004,2,219.878114
-137768.586937,1,219.908452
-126280.234238,1,219.939227
-157016.851043,2,219.984208
-5442.611617,165,224.088345
-48402.471373,102,226.773849
-54253.460032,109,229.593975
-42810.705618,117,232.490316
-65979.276721,56,233.942739
-12900.744729,158,237.822971
-135289.947191,1,237.8563
-121011.626495,51,239.151469
-61544.109573,61,240.608192
-12660.966906,168,244.990618
-96534.794752,23,245.54382
-44476.361784,82,247.709942
-33307.740428,153,251.428527
-73545.197306,80,253.510272
-30923.943865,143,256.912673
-72095.615024,54,258.204923
-35788.28841,112,261.037761
-135105.259953,1,261.058319
-157968.95344,2,261.101301
-89317.148107,48,262.209751
-126269.089839,1,262.230338
-155267.301021,1,262.256966
-54840.760124,134,265.721094
-63141.957847,78,267.673363
-69396.574733,75,269.600297
-55806.837616,69,271.302266
-65910.156949,99,273.850274
-70197.466002,60,275.431687
-65124.227464,106,278.020363
-19000.778547,250,284.296756
3575.385724,169,288.453402
-103831.754703,69,290.107346
-10567.712905,143,293.95853
-143833.663551,1,293.978934
-24732.462334,128,297.288087
-135019.918896,1,297.308779
129856.421297,250,303.566699
