#{"t_start": 1761593212.1195683, "env_id": "PulleyEnv-v0"}
r,l,t
-92636.767877,21,1.311351
-126371.52122,1,1.318213
-92541.691012,15,1.412038
-87151.932154,50,1.701832
-89108.507519,19,1.810417
-134996.739194,1,1.816044
-121584.175453,32,1.988407
-37841.057467,129,2.984433
-135101.825825,1,2.984433
-83491.342194,28,3.185066
-117550.70956,1,3.187106
-117546.033327,1,3.19971
-61437.024497,32,3.422058
-169180.224393,3,3.448357
-116930.624465,12,3.531392
-61014.70943,106,4.298563
-80508.679609,45,4.634233
-81939.454646,62,5.099334
-81974.76844,31,5.363473
-151202.808257,1,5.363473
-65898.072955,56,5.780863
-70441.489423,34,6.003708
-107707.527494,20,6.139093
-98730.025174,14,6.237791
-154517.592112,1,6.245806
-117547.792982,1,6.253009
-122308.749557,38,6.530109
-94057.624698,19,6.668502
-68028.383066,32,6.859692
-126392.328037,1,6.886277
-117650.06282,1,6.891382
-126316.706458,1,6.891382
-162190.529392,39,7.196407
-82128.785207,80,7.733521
-117653.959556,1,7.733521
-40795.144023,145,10.250756
-106968.694654,12,10.571823
-82044.417006,66,12.168752
-115790.92737,22,12.742533
-82257.509845,43,13.820388
-72194.638356,46,14.965251
-88192.880931,17,15.422915
-96608.284038,55,16.696975
-68170.00064,63,18.13471
-76858.62467,31,18.879931
-135107.774407,1,18.903045
-146318.742966,1,18.927243
-87761.928707,33,19.681326
-126367.579269,1,19.710393
-106807.732591,15,20.044901
-79421.219175,58,21.44707
-60135.04854,79,23.474868
-72196.611484,102,25.838002
-96186.812388,13,26.179084
-98884.818207,21,26.726349
-95517.954073,17,27.162572
-140690.175211,1,27.182901
-155411.43356,1,27.203247
-104213.576781,21,27.752904
-135032.117243,1,27.780261
-112181.777363,38,28.700568
-126370.599589,1,28.721164
-81446.975087,36,29.581788
-123411.472764,15,29.93119
-134534.729006,1,29.958693
-94701.364732,16,30.393268
-143803.734418,1,30.409286
-114791.703164,43,31.530579
-125915.988378,33,32.248305
-81045.507037,41,33.196506
-80477.197932,47,34.388429
-155451.977968,1,34.411724
-75826.239352,38,35.318524
-92682.829191,74,37.115356
-95905.222873,25,37.717695
-100100.654612,22,38.258876
-76399.074451,32,39.068149
-119406.848305,32,39.952399
-100720.594631,21,40.441839
-114045.372707,40,41.465061
-155053.650095,1,41.499228
-135202.073118,1,41.533883
-95133.985772,22,42.171989
-117554.949351,1,42.2063
-151099.260536,1,42.233532
-135398.062741,1,42.261429
-117624.39405,1,42.286466
-92765.059888,25,42.877107
-23009.941678,134,46.020349
-135185.333266,1,46.044971
-17763.161858,99,48.37329
-117551.811152,1,48.40105
-86568.819312,28,49.163103
-103112.360208,30,49.906964
-69190.756939,56,51.079764
-173917.121422,2,51.127337
-19649.466694,146,54.42398
-143966.180463,1,54.444363
-154217.370522,1,54.465177
-51057.629059,63,55.625796
-128968.869626,16,55.890884
-86038.627806,54,56.85111
-135095.923099,1,56.86693
-70675.099494,70,58.029585
-89610.451046,42,58.713376
-117570.108819,1,58.732265
-117550.586652,1,58.743262
-81689.901898,39,59.354432
-82401.657226,29,59.844252
-78612.005933,41,60.513373
-76117.691712,42,61.212062
-55176.965891,94,62.820168
-86594.888987,43,63.568485
127245.562916,250,67.971272
-165180.26484,2,67.99907
-22013.00918,158,70.830716
178573.692395,250,75.165292
-117549.415827,1,75.186033
-96344.336804,59,76.209565
-25265.216844,214,79.875914
-179836.154755,2,79.916348
134221.189104,250,84.543041
-135124.986506,1,84.571225
-125375.939184,1,84.592726
-117578.547721,1,84.61385
150987.971294,250,90.857467
-29414.791042,138,94.265126
138672.833453,250,100.142476
130741.325766,250,106.144401
12211.58672,234,111.954969
-13924.825633,181,116.458597
-16362.827061,111,119.19999
163712.319355,250,125.358136
-117545.199025,1,125.387989
99473.904749,250,132.892206
-124668.778898,3,132.978663
50227.785365,223,139.749704
113971.448675,250,147.394419
-126270.167997,1,147.421527
138192.889473,250,154.951533
141238.190086,250,162.352673
84467.358901,250,170.868379
160316.54879,250,178.62467
-163407.692212,2,178.679884
26593.641864,208,183.946797
13294.702904,211,189.13795
-199497.765004,2,189.182816
-100419.612621,48,190.392843
2430.382051,229,195.893122
-117545.342699,1,195.912763
-56204.4673,117,198.773467
-193076.634107,2,198.820119
154072.105832,250,204.979078
-135124.312381,1,205.006593
-27440.951872,162,209.024076
-135206.935516,1,209.054921
-32351.86543,112,212.023941
-187513.060829,2,212.072966
-187130.240992,3,212.13605
-145553.369535,1,212.169246
-63557.89514,82,214.130599
-126375.134935,1,214.156208
-149438.270648,1,214.176363
-43687.519861,93,216.508992
-159078.015453,2,216.576652
-62412.590148,91,218.90693
-50238.739461,89,221.10391
-126374.457495,1,221.127209
-543272.890144,204,226.31216
-155184.655568,1,226.333404
-71981.369163,77,228.26351
-180531.257434,2,228.310031
-45854.976056,139,231.879892
-38465.734735,100,234.405424
-135106.612233,1,234.431064
-18857.062242,149,238.122816
-52718.977935,83,240.122828
-126278.810254,1,240.155431
-63685.874382,97,242.707246
-173697.901009,2,242.765514
-12855.31416,129,246.088828
-135085.880605,1,246.119704
-84389.18006,85,248.331538
-117559.023837,1,248.352511
-100128.403354,34,249.199326
-38131.966946,119,252.086248
-123766.569433,52,253.410839
-91156.35729,86,255.454306
-52182.958299,80,257.399587
-155114.075264,1,257.424026
-164893.160223,1,257.439702
-57151.575506,68,259.087144
-20702.605264,144,262.700389
-73864.099379,88,264.894905
-57841.616469,113,267.744491
-40237.086485,128,270.952592
-42263.1092,101,273.589499
-8473.012672,178,278.058778
-60899.085546,113,280.987456
109813.249286,250,287.14877
-134986.681872,1,287.176001
-21975.589163,114,289.886189
-135003.22571,1,289.912194
-117655.347046,1,289.948975
-135093.837205,1,289.972821
-126275.742225,1,289.993005
-126289.82609,1,290.022978
-14623.556706,184,294.899869
-25823.684837,168,299.138448
-10813.719929,177,303.609167
-108348.340406,36,304.529143
-8938.853668,162,308.61859
-89072.834567,77,310.649201
-126269.353838,1,310.669583
5163.209536,188,315.518953
139731.026215,250,321.775369
-7238.692163,117,324.675683
-98719.340867,82,326.657759
-134987.026196,1,326.678575
-13682.327144,145,330.110673
115855.140524,250,336.569129
-113235.329871,10,336.84332
-143958.750512,1,336.864053
106456.354025,250,343.037884
-71574.772492,115,345.92912
115459.769129,250,352.188579
-2088.716088,171,356.160093
127289.593295,250,362.39923
-34504.372413,114,365.255554
188738.87758,250,371.493456
-133120.584341,64,372.985194
130891.387059,250,379.344152
171789.186801,250,385.652576
-135082.847671,1,385.677119
142576.09542,250,391.861808
96306.215211,250,398.165339
93458.148071,250,404.505206
176479.824681,250,410.659194
-117667.599933,1,410.67964
-135118.438824,1,410.710401
-76603.781843,96,413.118892
106181.667191,250,419.061886
215975.46083,250,425.135214
208399.390275,250,431.37048
-143974.625622,1,431.381513
-135197.175731,1,431.401724
172554.141659,250,437.422351
-174859.939183,2,437.462891
213075.738759,250,443.681783
-155185.638122,1,443.703214
63523.829245,250,449.845016
173734.961616,250,456.078591
96779.324266,250,462.476511
223941.707309,250,468.609389
133873.662398,250,474.751955
-117558.081676,1,474.772544
-117556.17066,1,474.803197
-126366.19928,1,474.844388
21747.529126,176,479.243767
-155492.857886,1,479.266734
196080.223695,250,485.389946
91022.085067,250,491.52036
114535.903057,250,497.481538
-142391.16062,1,497.499887
187224.700285,250,503.5072
184715.233092,250,509.750014
-150675.821319,1,509.783172
159133.849402,250,516.091679
124239.236455,250,522.366624
197679.008506,250,528.751105
214512.299173,250,534.958919
241455.738005,250,541.273308
236601.508149,250,547.591736
111452.960428,250,554.171486
-117555.127896,1,554.192113
239887.510248,250,560.529313
128432.791185,250,566.803644
320261.518564,250,572.831818
-125273.415179,1,572.858934
172721.784154,250,579.157703
330277.35646,250,585.5586
-117551.060679,1,585.578859
103632.342725,250,592.10658
-126403.506508,1,592.127304
86207.153416,250,597.607247
132172.167154,250,603.925811
277203.808115,250,610.329812
239091.174018,250,616.497798
231947.72828,250,622.607654
-126267.460693,1,622.631486
121839.803189,250,628.670463
344737.848497,250,634.998226
113426.337882,250,641.071105
108412.200373,250,647.294841
-117554.173396,1,647.315479
160389.385477,250,653.605366
-190173.895025,3,653.675483
134224.292526,250,659.531072
-135200.896925,1,659.562266
-117642.085806,1,659.594212
96575.452771,250,665.816813
332290.430268,250,672.268194
245851.662981,250,678.435688
123992.11076,250,684.64999
292394.850792,250,690.518925
-126362.948707,1,690.559825
288945.352109,250,696.704647
456054.895356,250,702.986347
127492.050445,250,709.124412
129095.14939,250,715.539492
-137680.17601,1,715.560007
200119.106025,250,721.854111
116311.966766,250,728.113861
171575.386435,250,734.071452
-126371.933502,1,734.09299
75033.153829,250,740.213483
129506.859262,250,746.421055
118350.492955,250,752.982229
-134995.42311,1,753.002954
156286.666665,250,759.356392
327716.775981,250,765.726835
281238.601921,250,771.921716
-135208.984643,1,771.935657
120367.643264,250,777.966198
-155157.373496,1,777.990647
-165129.029226,2,778.045112
-136457.675999,1,778.075698
57249.745138,250,784.387344
301526.804829,250,790.981871
313231.151067,250,797.415224
121341.901021,250,803.847692
-117548.82215,1,803.879408
-137334.950711,1,803.90986
160807.784896,250,810.08503
-135085.40233,1,810.126887
-117662.803531,1,810.155632
443133.362536,250,816.43177
92362.261462,250,822.771593
123396.28425,250,829.095035
350881.51222,250,835.348161
-117543.485823,1,835.371012
129283.53781,250,841.508506
-117561.202721,1,841.526905
-152814.901645,1,841.547828
93854.984065,250,847.667483
293217.035039,250,854.012533
434632.60786,250,860.374525
288784.148615,250,866.491675
245876.788573,250,872.705228
79403.936706,250,878.746235
86874.711429,250,885.326756
174275.415932,250,891.533012
536522.262335,250,897.615901
252610.027079,250,903.768342
438422.082742,250,909.987832
134684.280946,250,916.162922
316778.95152,250,922.551964
89094.276653,250,928.618322
266605.159089,250,934.764215
121822.358115,250,941.184473
119534.753366,250,947.205809
303603.833372,250,953.321954
276019.968153,250,959.519462
384962.949399,250,966.030765
-190498.800571,2,966.07272
120960.594655,250,972.178306
122098.075873,250,978.255667
-203472.763384,2,978.318906
172769.566999,250,984.793075
132867.139527,250,990.973578
311051.387399,250,997.487974
