#{"t_start": 1761513942.1604755, "env_id": "PulleyEnv-v0"}
r,l,t
-93552.744916,20,1.25384
-42091.278606,109,1.84279
-80612.894286,84,2.30478
-83088.471058,26,2.457323
-82601.492756,61,2.788243
-135203.349092,1,2.794635
-134992.023754,1,2.799656
-135255.450232,1,2.799656
-132607.08459,1,2.809823
-143806.3928,1,2.812728
-145746.318158,1,2.819913
22741.40733,129,3.520624
-135093.513513,1,3.520624
-111484.144511,20,3.635139
-89146.987888,48,3.905783
-102689.124141,33,4.089083
-137982.747624,29,4.251216
-84948.218724,46,4.505318
-94362.583518,77,4.931241
-155038.605069,1,4.931241
-96813.342071,16,5.022939
-80986.766391,32,5.210079
-151712.244678,1,5.216725
-83575.535914,43,5.440472
-120232.234809,22,5.55046
-131602.597959,19,5.663365
-117551.43173,1,5.672963
-117545.947295,1,5.675175
-126277.085199,1,5.675175
-117247.24674,40,5.894239
-85282.173446,28,6.052277
-117463.157505,1,6.058276
-135094.528057,1,6.065277
-104453.191217,23,6.191115
-117557.101024,1,6.191115
-96771.291998,21,6.315607
-93565.778564,16,6.408004
-167807.697257,1,6.40902
-167566.756689,29,6.566747
-127911.512387,21,6.926073
-91178.66861,27,7.416119
-188395.303442,3,7.478762
-61774.974733,66,8.702606
-76090.889232,40,9.420798
-80886.352494,54,10.440453
-52302.529787,65,11.629458
-78865.478427,35,12.311411
-95561.334965,14,12.586493
-135096.292116,1,12.604064
-68536.557519,44,13.45499
-113362.635703,12,13.675148
-86777.333136,30,14.221218
-95752.220663,11,14.430883
-88331.669805,48,15.320182
-111910.18715,26,15.827402
-66470.617114,59,16.965168
-117562.189595,1,16.985723
-134851.150497,12,17.24708
-117543.252026,1,17.266493
-145735.332929,1,17.279502
-27636.435201,108,19.339453
-110202.23615,30,19.916246
-92955.002999,19,20.278478
-95288.075254,19,20.648497
-91107.138604,24,21.107932
-77341.001838,34,21.770702
-126387.361985,1,21.800688
-82537.375966,61,22.935133
-89372.990662,16,23.237251
-89028.048493,34,23.939412
-94815.152298,16,24.251034
-89379.487566,24,24.706461
-93005.569306,15,25.000349
-116704.572997,14,25.264379
-124258.573838,37,25.967789
-97815.234664,19,26.340829
-66346.040538,75,27.779208
-106923.756617,15,28.042006
-74083.798605,74,29.373486
-76633.422316,45,30.182045
-88922.073818,37,30.836684
-126318.104678,1,30.858208
-103123.055995,17,31.166361
-117584.938944,1,31.18642
-86423.052856,19,31.523762
-126277.640908,1,31.547819
-105753.879339,33,32.199255
-75681.65986,47,33.102083
-54254.277721,29,33.620087
-86191.655826,47,34.501762
-116550.045868,1,34.522355
-137416.647095,1,34.532367
-94956.926675,29,35.025965
-76734.965909,96,36.75761
-88879.601835,30,37.323987
-57929.347156,84,38.896153
-62756.951303,50,39.850547
-53339.942907,77,41.316922
-126399.33939,1,41.340742
-86769.254354,27,41.836639
-101946.930682,36,42.488106
-135146.364959,1,42.506991
-44187.702025,169,45.553783
-28331.298406,113,47.956615
-64961.974721,73,49.238862
-114597.466026,52,50.2124
-164515.423418,22,50.600682
-98572.551679,19,50.932092
-126273.892465,1,50.946978
-83670.358632,46,51.87261
-35605.691568,188,55.263787
-68219.369093,67,56.54087
-15715.730718,91,58.243373
-116558.555094,1,58.258287
-39248.584139,111,60.31695
-11329.634216,203,63.87898
-113264.26357,44,64.704457
-56067.303309,81,66.109103
42919.008466,247,70.628461
-26131.932276,150,73.495926
-39602.520702,102,75.444191
-126264.958094,1,75.47178
-135091.635193,1,75.486975
178981.343298,250,80.232705
-135095.899097,1,80.25304
-76875.083922,170,83.465758
-33153.903619,152,86.351358
-117550.041242,1,86.37409
144537.12918,250,91.095608
156604.173525,250,95.706651
140963.930451,250,100.286289
-117555.389656,1,100.296111
135000.188705,250,104.852155
-88650.641843,95,106.539742
-135081.835876,1,106.565844
-143812.178758,1,106.58652
157676.182668,250,111.106781
161514.133877,250,115.773575
144694.829749,250,120.280906
-30686.253661,131,122.628197
123577.214071,250,127.057186
-117549.256101,1,127.064866
151631.000913,250,131.516294
135706.630533,250,136.048639
99752.605008,250,140.466461
-163843.883934,2,140.502219
8312.837081,169,143.528445
141388.3362,250,148.113285
-185429.668488,2,148.15366
-5327.188935,180,151.409878
-13777.051972,171,154.470813
-29810.422862,146,156.921006
-40083.936406,103,158.74767
175773.429752,250,163.043963
149647.596841,250,167.272669
126318.089477,250,171.541151
-16009.452953,143,174.129651
12048.778388,168,177.203275
-163170.885392,1,177.222463
-62811.361518,84,178.757345
150629.749068,250,183.28689
-166481.984639,2,183.318033
-43000.288144,231,187.50887
32662.875272,247,192.029573
-63371.605775,127,194.324967
-17168.517699,177,197.512438
-135089.614814,1,197.532969
-135112.09525,1,197.560244
-135197.951325,1,197.576146
-76322.644119,75,198.919861
-165603.542835,2,198.961128
-117557.702926,1,198.97821
-53379.940264,77,200.371212
-148315.64589,1,200.390431
-128192.848382,1,200.410889
-69588.107635,58,201.444338
-117641.695034,1,201.471466
21033.605478,225,205.574986
-46982.425695,81,207.045487
-16425.057202,204,210.689189
-117571.421885,1,210.699195
-42369.858777,92,212.340052
-126400.275655,1,212.357204
-47761.30368,76,213.788583
-15021.741535,99,215.653727
-42983.049107,87,217.30029
-38754.334781,105,219.325096
-135094.727546,1,219.348796
-163293.235033,2,219.393188
-135094.996427,1,219.413354
-56214.27497,97,221.284667
-152783.919195,1,221.307602
-14912.129812,132,223.807544
-117555.147436,1,223.832989
-170314.699322,2,223.869633
-79908.454634,59,224.985158
-57440.873397,83,226.548948
-117669.747353,1,226.563259
-54033.561797,73,227.9448
-71295.340908,76,229.364029
-45195.341863,74,230.764844
-135131.841263,1,230.781365
-66509.940152,84,232.436639
-25952.099323,114,234.585382
-83569.637795,33,235.216969
-101890.354405,40,235.994974
-79382.552086,46,236.869486
-117548.047054,1,236.889686
