#{"t_start": 1761513942.1624753, "env_id": "PulleyEnv-v0"}
r,l,t
-126287.024091,1,1.151344
-98032.355018,22,1.270816
-134991.788474,1,1.270816
-126365.327733,1,1.270816
-75099.373496,26,1.415662
-87914.943083,22,1.53611
-117586.354896,1,1.54311
-64251.471794,65,1.897879
-135091.762602,1,1.905721
-155031.284943,1,1.911345
-22931.982386,112,2.525646
-72077.173073,60,2.858912
-64226.116986,72,3.239641
-98355.084601,14,3.31275
-150424.552601,1,3.328765
-84331.424267,34,3.513224
-101156.060477,23,3.638655
-161455.157179,1,3.638655
-81625.286931,50,3.92641
-117555.516007,1,3.931891
-93415.000098,15,4.013658
-78975.911058,35,4.20958
-113604.953082,34,4.391376
-75044.527108,47,4.650195
-94578.485519,25,4.793743
-143913.011389,1,4.799868
-60009.64089,60,5.133176
-67049.864047,90,5.611574
-85488.434765,70,6.001547
-86455.487265,32,6.187109
-96340.208503,38,6.40072
-93106.029411,20,6.508847
-79125.715264,16,6.580426
-71586.885922,47,7.498762
-126381.528149,1,7.516461
-108393.770178,31,8.096802
-73107.782045,64,9.253822
-205419.820696,56,10.308522
-98200.121612,35,10.956031
-102161.894601,43,11.749795
-84710.48858,21,12.158899
-164888.667687,20,12.541906
-87547.471071,25,13.033586
-98584.646506,12,13.259336
-115518.145586,13,13.504355
-135094.820578,1,13.525043
-88874.480228,22,13.925484
-117560.902117,1,13.9479
-135297.603559,1,13.966199
-78603.382149,41,14.724094
-95578.428982,11,14.937382
-84341.65465,29,15.471969
-96290.244528,23,15.916806
-117562.01546,1,15.947842
-113773.523887,17,16.275846
-88256.208501,40,17.044253
-127832.551709,13,17.314835
-81469.672552,66,18.564751
-108296.49404,17,18.88994
-76344.385208,80,20.435461
-80148.627873,38,21.163007
-22347.682738,135,23.775356
-96198.189907,20,24.171374
-99001.323043,17,24.494051
-153860.550889,1,24.517846
-130616.175739,15,24.806365
-99767.422568,19,25.171438
-113134.248811,24,25.627313
-135106.989269,1,25.652735
-98818.11452,17,25.966594
-117568.694099,1,25.985991
-159707.354042,1,26.00776
-83314.316864,39,26.77501
-109424.672163,21,27.159175
-143914.382783,1,27.183815
-92863.048949,17,27.513316
-78803.193514,41,28.265194
-107204.416015,30,28.800697
-117546.943398,1,28.82058
-138804.971881,15,29.087318
-116569.063016,72,30.362437
-95900.65132,15,30.632074
-134121.614171,1,30.654418
-134125.662365,1,30.668344
-134945.985242,1,30.697537
-34731.434041,66,31.924762
-134155.393336,1,31.949322
-74290.091924,28,32.487228
-70606.587791,54,33.486991
-117448.085401,1,33.509769
-135194.09483,1,33.527637
-74226.332327,44,34.357965
-92200.861203,22,34.738717
-67450.482466,51,35.611027
-135202.887569,1,35.636153
-135201.235835,1,35.652071
-143830.431043,1,35.678774
-70159.332459,73,37.01758
-83168.021945,61,38.176692
-92151.257504,49,39.083984
-69753.950341,73,40.465816
-54613.274416,90,42.154396
-92158.499537,16,42.449748
-84049.55538,42,43.159202
-90130.706788,31,43.701265
-65812.582235,92,45.400135
-117556.815549,1,45.410143
-21517.258382,160,48.681402
-135112.301522,1,48.701453
-93339.315534,20,49.05206
-117545.816304,1,49.067909
-103713.748724,36,49.703278
6371.01192,217,53.720783
118930.883673,250,58.360322
-135134.009185,1,58.380423
-135098.278471,1,58.400618
-117550.566676,1,58.4108
-126368.391238,1,58.431178
115553.811068,250,62.92318
-126363.485176,1,62.944466
-135139.218279,1,62.964918
129869.018121,250,67.402341
41189.164895,244,71.96797
-163505.69857,2,72.005821
130158.825499,250,76.759118
125715.72101,250,81.514491
-135083.160834,1,81.539618
102198.325241,250,86.26472
-135146.412417,1,86.292246
105250.071918,250,91.018913
191855.065117,250,95.630919
-117563.909947,1,95.639318
-126289.754515,1,95.659916
191528.290008,250,100.243758
131804.914814,250,104.792148
107659.086293,250,109.295466
153108.136413,250,113.899782
-156989.068597,1,113.918604
-162.484953,150,116.716326
-129027.585984,1,116.739175
170692.324102,250,121.18764
3643.470814,161,124.069635
-5230.480268,196,127.525646
-143920.160366,1,127.547215
-84338.734526,122,129.734394
155338.831833,250,134.253605
134913.98526,250,138.699834
106.650266,223,142.670623
-117671.453124,1,142.69395
-52992.722148,97,144.441869
124586.151739,250,149.010367
-96634.678098,185,152.485412
-135120.472316,1,152.505858
-176237.805716,2,152.536229
195528.987701,250,156.746619
146073.376467,250,161.014572
-154637.039323,1,161.026904
-50624.947606,72,162.297515
157682.219214,250,166.595005
-65958.863092,119,168.557441
-17176.256984,168,171.468449
-80314.237536,59,172.525799
-22834.848158,120,174.705209
-66498.667135,112,176.743442
-25662.395504,124,179.021369
4797.622622,171,182.130328
-41369.646051,107,184.067666
-83571.235013,85,185.610886
-179227.599077,2,185.653442
-33659.752468,142,188.201724
-104796.662057,9,188.360011
-134126.255482,1,188.376079
142809.64772,250,192.971485
-29103.294132,115,195.052079
-117673.578521,1,195.072638
-12846.556557,176,198.241855
-135126.446975,1,198.262258
-51634.076782,121,200.440071
136386.448771,250,204.992519
-117472.552804,75,206.362844
-121060.527455,36,207.012813
-966.45956,184,210.308186
-152393.048817,1,210.329126
-66783.634718,76,211.644398
-82114.700063,47,212.507313
-12184.231027,187,216.039672
-49606.204772,103,217.993304
-20656.57529,147,220.84298
-43507.804236,133,223.369732
-52859.729301,99,225.253797
-51594.140571,87,226.886139
-62827.64319,138,229.48409
-77183.126364,80,231.004989
-67710.390263,53,232.035292
-81665.499099,47,232.947871
-135085.727184,1,232.972636
15019.28262,128,235.391628
-39739.378269,99,237.280926
-126370.347971,1,237.30394
-135194.713935,1,237.32211
-46449.516532,54,238.368556
-51845.739724,83,239.934288
-56833.709881,65,241.171304
-66777.656671,53,242.170239
-70699.291159,60,243.300259
-55872.373795,86,244.927725
-75344.957565,42,245.7127
-76833.956481,53,246.7247
-80571.69209,55,247.813696
150939.154337,250,252.673829
-29814.859177,125,255.099769
-65879.279991,69,256.399167
-108007.303848,33,257.052971
-134945.606177,20,257.53258
-57728.181943,69,258.708427
-134086.460691,1,258.72785
-79114.095499,50,259.605307
-117649.349339,1,259.63179
-169799.728972,2,259.66615
-50590.93595,92,261.370366
-117551.700752,1,261.393873
-126382.806636,1,261.418161
-41122.345829,99,263.310268
-135095.639394,1,263.328508
-117543.4125,1,263.348826
-92087.734135,62,264.444561
-117457.945864,1,264.465174
-135089.963127,1,264.485681
-94396.841986,65,265.702003
-87551.744256,47,266.620412
-186112.905779,2,266.665512
-117972.017322,36,267.400645
-22923.048567,133,269.885803
-126373.916824,1,269.906668
-150278.221171,2,269.949639
-32840.617463,101,271.79129
-117467.072188,1,271.813608
-64925.135685,67,273.051737
-135128.584751,1,273.076007
-109393.106723,69,274.440367
-126279.756221,1,274.459187
-139451.175821,1,274.475603
-117562.606087,1,274.497646
-21756.745649,86,276.013983
-155128.456843,1,276.036065
-82244.13321,33,276.609049
-135101.291006,1,276.625116
-62834.741612,57,277.639377
-16859.469767,160,280.46559
-125003.253721,35,281.146153
-57809.228032,95,282.766418
-73311.069341,53,283.75141
-55794.466357,101,285.459755
43370.458172,219,289.47164
-182028.089612,2,289.517651
-117550.608933,1,289.538892
-137446.058915,1,289.547744
6873.404598,192,293.154448
37348.43961,229,297.516563
-37666.339564,128,299.824634
177066.371816,250,304.093718
145168.106527,250,308.503111
-18208.327181,199,312.075107
161665.054287,250,316.700171
-31397.083026,156,319.645221
-155148.546315,1,319.675644
-117648.438926,1,319.696047
244526.439296,250,324.229635
-143838.000583,1,324.245651
127616.706163,250,328.66395
176559.808191,250,333.168236
255852.51569,250,337.670619
138570.805795,250,342.208258
192742.610462,250,346.779425
115703.489107,250,351.281906
152317.567388,250,355.920117
151807.843858,250,360.521624
116011.684916,250,365.115591
183177.028982,250,369.576077
125203.885232,250,374.0471
221284.371631,250,378.530724
243026.571413,250,382.968907
128941.421376,250,387.542332
130919.391199,250,392.035832
150288.632138,250,396.490332
149630.436552,250,400.974149
-126272.300233,1,400.993909
180227.383314,250,405.52778
-167024.023176,2,405.55952
227152.58601,250,410.051017
95234.180498,250,414.577359
77975.715135,250,419.14305
110915.119741,250,423.688969
122448.950292,250,428.181211
227960.605834,250,432.650742
190332.216071,250,437.182895
131059.03103,250,441.6141
130506.153393,250,446.175325
80853.79185,250,450.757497
155598.332196,250,455.480079
62019.182021,250,460.317008
115615.300097,250,464.785674
292297.612686,250,469.512557
-189062.965029,2,469.55458
94496.162654,250,474.141899
111270.633119,250,478.735462
-126375.134388,1,478.762876
292117.791692,250,483.294503
376463.571815,250,487.734072
338820.89861,250,492.418098
-155208.225651,1,492.438244
37347.693385,250,497.208918
419276.585335,250,501.956192
197869.349063,250,506.671746
286001.295305,250,511.422292
129365.554236,250,516.172209
94314.840145,250,520.864766
79166.028148,250,525.624711
-135100.193713,1,525.642464
105970.998618,250,530.387536
129245.278162,250,534.993824
232303.987651,250,539.677667
210955.391528,250,544.50164
132559.748773,250,549.159372
-135091.761936,1,549.190524
-133620.471392,1,549.210999
394082.528477,250,553.894324
93468.514567,250,558.604966
125850.009844,250,563.294286
190737.862695,250,567.945938
-135046.769755,1,567.966228
-117549.385159,1,567.97646
113341.960212,250,572.775606
238311.197657,250,577.342835
-145671.155528,1,577.360706
276619.002251,250,581.888699
132727.546319,250,586.451749
295184.881746,250,591.064213
128439.457089,250,595.685917
254016.881331,250,600.256021
191250.416769,250,604.822371
260192.382641,250,609.40198
146970.953228,250,613.896619
458320.171182,250,618.609915
-172380.004342,2,618.645901
-117553.62164,1,618.666748
321821.337025,250,623.015903
-143927.000824,1,623.025949
133557.602455,250,627.300185
-117645.354845,1,627.320242
135955.123299,250,631.556359
-142951.505398,1,631.572795
131328.023569,250,636.091133
118279.30181,250,640.381273
229965.83622,250,644.836321
-143767.050791,1,644.854098
123664.443265,250,649.336697
531713.040459,250,653.915245
-126323.528086,1,653.937501
-150361.870612,1,653.9557
388371.803134,250,658.191303
133594.237949,250,662.432629
111667.504851,250,666.907755
101361.759142,250,671.331973
-125297.376591,1,671.349752
-146096.51573,1,671.362741
-125370.907967,1,671.385418
119207.489875,250,675.655707
381829.759296,250,680.160118
-133198.894793,1,680.181346
133812.884317,250,685.105653
136411.41323,250,689.458352
-117545.923271,1,689.468395
105338.149078,250,694.323607
124126.571658,250,699.226074
235044.17751,250,703.779191
-135137.641072,1,703.800176
119469.4472,250,708.505001
-143813.735119,1,708.524565
203521.611995,250,713.152642
-165203.503743,2,713.184178
385441.712204,250,718.039713
132455.883745,250,723.277724
133519.804669,250,727.909449
-135130.334036,1,727.929936
129163.319189,250,732.697241
-155424.035774,1,732.718171
-135091.339055,1,732.736916
444485.7214,250,737.538336
124284.362458,250,742.494843
116372.188645,250,747.031644
121140.266102,250,751.62549
401245.376386,250,756.41014
-137479.388362,1,756.424769
-117544.47024,1,756.445026
124140.987532,250,761.092644
130523.732596,250,765.888212
487649.45671,250,770.623597
128450.177745,250,775.405794
339289.892082,250,780.202162
-153238.586778,1,780.22576
257620.671831,250,785.049714
410555.415666,250,789.886426
203989.018574,250,794.665841
-169941.759159,2,794.712606
-135237.347139,1,794.72623
208648.385112,250,799.539813
131903.635624,250,804.325022
107324.244481,250,809.030147
83820.008697,250,813.730092
480089.72105,250,818.322353
-137094.689954,1,818.332361
334359.787628,250,822.906053
426140.681536,250,827.641295
133372.510239,250,832.215997
247885.076668,250,836.842771
329251.530443,250,841.414952
-156991.763716,2,841.455261
-117560.868002,1,841.473507
97064.99932,250,846.066529
591904.951774,250,850.675024
109884.547066,250,855.194916
127026.942242,250,859.822153
116627.023921,250,864.327379
690465.39177,250,868.920528
262183.505637,250,873.464737
382404.467944,250,878.048866
290851.408553,250,882.608643
133466.351433,250,887.149689
296858.89846,250,891.697738
437982.235502,250,896.286359
391673.27954,250,900.840912
-117547.131888,1,900.861122
135573.213131,250,905.391495
672285.777889,250,981.068997
103568.290078,250,985.895533
155032.088006,250,990.703066
126931.434703,250,995.418211
252841.263294,250,1000.151857
113682.167098,250,1004.897756
321085.296132,250,1009.621568
324525.019873,250,1014.470686
121664.998115,250,1019.244062
132572.651081,250,1023.99018
-135202.585713,1,1024.016763
148477.505178,250,1028.811574
-126265.580052,1,1028.831395
474758.415582,250,1033.540658
130320.801116,250,1038.314264
354260.136192,250,1043.090776
-411298.25933,250,1047.943949
92043.280402,250,1052.71387
-136738.235249,1,1052.732446
-126292.458999,1,1052.74714
322128.508095,250,1057.362896
105827.728044,250,1062.042692
520338.780374,250,1066.685306
-126267.061356,1,1066.704682
279593.390669,250,1071.327109
-152788.174843,1,1071.348074
-152199.34293,1,1071.370766
124732.337789,250,1076.063981
131786.203823,250,1080.75763
