#{"t_start": 1761513942.1584694, "env_id": "PulleyEnv-v0"}
r,l,t
-82753.488038,31,1.303421
-98510.174052,17,1.396518
-113845.454081,33,1.573676
-75188.998994,27,1.726483
-124127.560802,23,1.855921
-108126.611845,19,1.964354
-91122.716318,14,2.034661
-135187.198135,1,2.043123
-63059.89466,74,2.449273
-99082.300272,25,2.586208
-82635.571536,40,2.811829
-88209.580778,57,3.117918
-62030.683244,55,3.408546
-102963.786413,13,3.488592
-117549.721775,1,3.493618
-152865.192586,1,3.493618
-117642.774846,1,3.500503
-96896.380075,14,3.571405
-175525.374563,2,3.592249
-119842.529152,18,3.683804
-302035.778538,63,4.047951
-79572.737769,42,4.274603
-71460.230958,41,4.496914
-117549.754928,1,4.507324
-143825.283167,1,4.507324
-30788.735457,64,4.871258
-135001.863519,1,4.877339
-109490.759531,37,5.067854
-161502.372142,1,5.088859
-17988.761742,160,5.963679
-90421.114529,42,6.193121
-73427.329962,86,6.869735
-87615.056087,51,7.808507
-72330.285036,58,8.876212
-120998.799609,15,9.150244
-89707.031552,14,9.407411
-91670.974064,12,9.63746
-95884.825311,15,9.928215
-85993.231047,46,10.776732
-91340.497543,36,11.42637
-80370.85673,22,11.851732
-91467.894539,38,12.586036
-73674.261331,52,13.580201
-135061.897779,1,13.604462
-77724.083818,57,14.646803
-126379.803994,1,14.667017
-80550.146826,67,15.948553
-126375.854443,1,15.972185
-102292.448379,46,16.846634
-140216.609139,1,16.870243
-62997.477214,50,17.837433
-84159.590986,70,19.17735
-135093.242831,1,19.19887
-73461.861444,54,20.238842
-77251.571675,50,21.207406
-163300.623149,2,21.243096
-135116.65406,1,21.267645
-45897.374264,111,23.389872
-182341.949558,2,23.432139
-135019.225046,1,23.457516
-135145.190381,1,23.477945
-143924.232964,1,23.498157
-117554.432357,1,23.516799
-126431.070252,1,23.531276
-117454.24482,1,23.552119
-86067.838099,18,23.92134
-92068.414138,33,24.559479
-92223.365487,14,24.83096
-80365.079063,33,25.458484
-135116.834698,1,25.477995
-86926.606017,16,25.786775
-126299.562179,1,25.798944
-43337.276311,51,26.794006
-92389.878396,17,27.108753
-97284.611758,15,27.395386
-99254.316993,31,27.985918
-171298.843104,2,28.013225
-94407.161892,13,28.248685
-143875.664794,1,28.267662
-109432.219152,23,28.67776
-155203.799589,1,28.697338
-127851.719195,17,29.002946
-76499.038782,55,29.970002
-106041.782086,37,30.63608
-134267.75723,1,30.651545
-71661.767221,77,32.109616
-117545.009446,1,32.11983
-105007.062777,15,32.411066
-94413.618048,15,32.696896
-90432.752114,16,33.002147
-117553.45834,1,33.029024
-134986.705483,1,33.048063
-82436.581997,42,33.805648
-89655.574842,29,34.351906
-85603.080871,35,34.95992
-135114.305588,1,34.977228
-67150.008301,58,35.997709
-135093.919954,1,36.018231
-72211.413536,28,36.521728
-143733.484412,1,36.546681
-66982.342968,79,38.05608
-60691.5415,72,39.403593
-78319.281719,40,40.148532
-72874.936106,52,41.148077
-92312.99246,15,41.451329
-87316.140507,47,42.280351
-105324.607086,20,42.633327
-107884.885867,17,42.916852
-100110.49655,14,43.159539
-101157.276761,14,43.409253
-143832.8273,1,43.431732
-91074.54369,33,43.978325
-68799.961655,59,45.110388
-89051.44989,28,45.656112
-67994.255082,66,47.150945
-57239.66596,47,48.051166
-71502.628827,57,49.052855
-47774.482225,117,51.160606
-77810.564071,35,51.888079
166066.240968,250,56.467172
14884.8771,179,59.764757
-117552.641892,1,59.793682
-126170.372865,1,59.820489
-117545.976403,1,59.843053
-94196.791461,38,60.546852
18540.602607,176,63.623484
-85542.142401,59,64.724288
135689.256408,250,69.156427
-45701.453552,84,70.755126
123642.360864,250,75.544773
-13985.66615,144,78.26737
-79048.064314,73,79.649609
-167841.545042,2,79.690903
-24692.697864,147,82.477318
122577.026598,250,87.224808
-135104.434192,1,87.241701
-26515.877371,123,89.538686
-27653.23338,159,92.556911
150007.624257,250,97.143118
-20893.723313,134,99.592035
31506.719826,241,103.973664
17393.319558,182,107.258663
-149386.906684,1,107.276175
-47763.658548,126,109.546773
-126270.882152,1,109.563375
41011.627466,220,113.647861
106597.886131,250,118.239283
193196.033194,250,122.691028
110744.70916,250,127.127451
160665.226723,250,131.568474
113410.680886,250,136.102044
-22227.791871,156,138.853513
-135021.17982,1,138.873546
-125301.398219,1,138.883905
139375.669637,250,143.365649
-135029.467585,1,143.384698
-117551.994808,1,143.395711
42376.739641,235,147.680408
134460.74869,250,152.295147
6327.742111,178,155.378802
-61094.759962,100,157.019175
169605.311692,250,161.313188
16778.176105,212,164.954877
-63465.291464,98,166.673069
-135121.407959,1,166.69087
-18058.945662,131,168.858791
-60307.488144,131,171.150784
-64738.230197,84,172.621352
130802.998574,250,177.177514
-137721.55514,1,177.202777
162069.961091,250,181.767267
35343.888432,229,185.90989
155951.818873,250,190.40817
-63818.959548,83,191.970402
-16187.055935,134,194.398033
-21863.910238,131,196.746782
-32895.259628,174,199.89524
-40490.328895,107,201.831913
-117673.097216,1,201.857244
-60830.375304,66,203.045203
-23889.815087,96,204.805169
-65484.443464,149,207.527375
-27065.793823,116,209.617223
-135200.380686,1,209.634733
-98847.155111,60,210.672829
6229.83648,191,214.174178
-135116.550149,1,214.192302
-66892.979798,66,215.423844
-117556.969315,1,215.444011
-135094.204734,1,215.464347
-39432.300178,99,217.347595
-60458.874394,90,219.075855
-59360.018049,57,220.178072
10340.629744,205,224.092779
-73776.963538,76,225.529762
-67832.315462,58,226.625259
-140829.172818,1,226.64062
-53095.245129,88,228.300683
-74327.009503,68,229.58085
-152562.029519,1,229.605315
-104425.063087,82,231.166032
-135133.93926,1,231.180767
-15889.459528,134,233.752606
-111666.819471,21,234.153325
-53882.539298,75,235.596099
-72823.063663,78,237.082289
-50446.085631,88,238.765053
-126290.140089,1,238.785627
-176525.273463,2,238.818773
-125865.510625,68,240.101688
-74160.311889,51,241.078411
-82199.418757,54,242.105676
-60618.354852,78,243.558328
-46650.483216,100,245.440021
-117549.218248,1,245.460436
-39422.789867,120,247.788106
-66371.531065,81,249.34588
-79208.400919,79,250.89959
