#{"t_start": 1761513942.15747, "env_id": "PulleyEnv-v0"}
r,l,t
-135093.984686,1,1.147148
-82365.827812,43,1.381643
-115015.194188,24,1.499942
-104680.957082,19,1.615163
-56659.392226,81,2.06419
-155329.180794,1,2.074198
-107580.510772,27,2.217127
-150670.233714,1,2.221833
-134328.326876,23,2.348767
-147871.679043,1,2.358947
-117551.765601,1,2.358947
-119251.144757,45,2.602125
-83378.484056,48,2.87432
-117424.938772,13,2.935558
-57902.318977,87,3.409545
-65922.171346,48,3.674711
-93448.8619,28,3.832441
-77944.764407,53,4.130213
-171318.231285,2,4.13275
-113802.753089,22,4.259279
-135223.654382,1,4.265491
-136720.888062,1,4.275602
-100084.989421,14,4.351985
-104205.142461,21,4.456716
-160575.52209,22,4.588898
-91316.213735,14,4.6552
-116487.113869,22,4.780498
-117559.512139,1,4.789696
-87723.964348,89,5.288331
-107286.294025,27,5.434637
-135208.162204,1,5.437024
-88119.564294,15,5.522903
-86497.680635,23,5.6469
-117543.498059,1,5.6469
-94784.64857,22,5.772719
-143819.071921,1,5.772719
-86952.329462,24,5.897245
-54284.897248,69,6.294883
-88342.716654,32,6.459955
-77240.792576,49,7.094513
-135039.509647,1,7.110951
-111744.992808,33,7.722771
-117645.403417,1,7.740487
-135091.690129,1,7.758875
-84976.684045,25,8.219523
-154984.020308,1,8.240596
-117561.111539,1,8.264687
-94491.200577,34,8.877211
-84926.607343,27,9.362296
-79513.064463,36,10.056752
-49868.104896,89,11.694413
-72482.840326,49,12.642137
-32237.136321,148,15.416809
-58619.368604,83,17.019205
-143844.956284,1,17.049259
-93757.285569,23,17.497021
-128810.933883,17,17.818176
-117560.280617,1,17.838432
-94636.530881,19,18.225123
-85406.06261,22,18.628893
-51075.49017,39,19.38082
-59945.703142,61,20.557901
-135190.88108,1,20.57714
-89130.200589,18,20.920596
-75788.36139,50,21.895653
-101343.122554,16,22.204548
-138678.767592,1,22.221166
-78575.799233,45,23.052615
-95919.306333,17,23.390872
-135211.912131,1,23.411209
-143913.639114,1,23.433138
-126271.722271,1,23.45302
-91534.313115,30,24.055967
