#{"t_start": 1761872559.281558, "env_id": "PulleyEnv-v0"}
r,l,t
-172669.552925,5,1.237559
-170031.533558,5,1.268039
-518640.953761,37,1.47426
-278161.939302,13,1.551326
-360526.732708,21,1.670058
-175784.261452,5,1.699351
-105146.504757,27,1.849307
-102377.708499,23,1.97449
-296650.901428,25,2.11527
-274442.093987,13,2.185684
-731379.280944,108,2.776147
-506638.268879,34,2.968806
-184577.945224,6,3.001227
-171580.628073,5,3.028008
-134910.331597,26,3.171022
-364920.407831,20,3.282999
-181625.141577,71,3.653658
-249319.220463,42,3.874522
-175226.877499,5,3.906045
-176752.446908,5,3.932713
-163082.138338,5,3.960939
-175019.019475,5,3.986186
-57170.498611,81,4.435726
-175947.358006,5,4.463228
-682302.526952,78,4.899701
-111478.468552,18,4.998493
-296323.683869,14,5.073199
-214697.257522,8,5.115288
-195180.962978,33,5.293639
-172588.85093,5,5.319686
-643663.720419,45,5.553519
-294920.753095,14,5.626017
-112601.780768,32,5.803065
-99401.84306,27,5.9495
-117755.587145,13,6.021351
-308101.717376,19,6.122685
-247195.60222,12,6.189926
-123948.075779,12,6.252403
-115921.529533,24,6.376953
-96583.429627,161,8.800297
-227370.037129,9,8.972224
-315697.968759,173,12.304414
-105859.916787,9,12.483407
-110446.58424,15,12.783011
-107215.816217,16,13.096867
-102661.95278,15,13.39689
-172657.62843,5,13.487895
-176142.842648,5,13.586276
-239867.065444,10,13.78567
-245694.765476,11,13.987663
-263148.036188,13,14.216226
-423768.735183,31,14.813853
-178377.306076,5,14.913872
-172560.168377,5,15.007705
-191359.494715,7,15.148667
-123213.916433,25,15.63052
-301419.705382,16,15.94151
-175634.780375,5,16.042957
-212835.90315,9,16.222402
-225891.314621,9,16.400463
-218844.885097,8,16.554439
-222923.486856,9,16.732996
-215182.573658,9,16.913827
-104563.682233,19,17.270217
-596496.112825,43,18.104844
-241774.347244,53,19.151298
-384122.045437,25,19.639167
-280946.020041,13,19.894361
-375774.123132,38,20.645322
-173282.507195,5,20.746567
-171707.514237,16,21.04816
-107378.916969,53,22.057289
-184597.947086,6,22.178077
-174575.225628,5,22.2784
-184892.410943,7,22.415654
-339227.505151,24,22.892485
-96788.288845,34,23.549699
-177304.445054,5,23.646825
-173706.755883,5,23.743132
-120429.746908,39,24.516838
-201256.105649,8,24.679197
-266746.175187,13,24.934758
-96057.689519,12,25.170355
-112255.615504,19,25.534667
-106425.775985,19,25.909583
-367838.97514,25,26.398537
-185716.7314,6,26.518568
-111307.080486,137,29.147316
-214031.694934,8,29.284234
-221069.845695,9,29.443623
-427900.22742,55,30.479166
-406329.220301,77,31.935831
-367535.211573,20,32.305657
-203279.589885,7,32.441675
-167824.179341,5,32.539027
-259232.435424,17,32.860024
-228833.152076,9,33.047187
-204055.761445,38,33.797343
-321047.204743,43,34.655915
-175333.827403,5,34.754779
-278517.846083,13,35.018308
-149579.648508,30,35.614408
-172015.107729,5,35.71114
-389208.141894,28,36.245015
-212730.355109,10,36.441479
-103898.077747,26,36.950118
-451991.928169,28,37.512393
-307364.587939,17,37.845146
-236326.292935,210,41.813066
-200849.547147,225,46.020152
-437023.489258,88,47.647304
54926.784,250,52.408496
-253432.878173,11,52.633623
-338117.736009,17,52.966918
-341365.115315,18,53.303607
-225261.500125,10,53.498355
-173051.390807,5,53.597325
97657.986923,250,58.280529
-167265.348035,250,62.936628
-438911.787896,27,63.445797
-202811.218722,8,63.604612
-232678.627377,11,63.807249
-642405.916568,250,68.532555
36653.633093,250,73.148336
233506.368253,250,77.710977
127221.663536,250,82.443789
256430.137607,250,87.0252
-172719.308835,5,87.113833
-199760.598285,250,91.637017
110973.540333,250,96.255638
-163119.51831,250,100.969922
-319455.808902,16,101.256878
-235712.610394,10,101.438734
172964.962747,250,106.041628
-178845.379358,6,106.168675
-178445.45436,250,110.917794
42302.117389,250,115.5474
-165673.394511,5,115.638922
115149.450685,250,120.281801
-258168.450019,12,120.511645
-156989.438064,250,125.180632
-42361.458171,250,129.860696
-195505.291851,250,134.408194
87943.948299,250,139.066671
44862.82972,250,143.724901
200408.131462,250,148.220715
-54009.740119,250,152.80081
-268098.477515,250,157.422483
-177578.806283,5,157.51748
-173000.135883,5,157.619554
-281166.314945,250,162.409246
-200473.058423,8,162.568922
-253227.445679,250,167.515865
-203106.519014,250,172.465085
-297548.207321,17,172.798627
60966.687972,250,177.762374
-18600.890252,250,182.627709
-176462.46404,5,182.727816
265909.375393,250,187.641011
-202207.234849,8,187.790807
-173380.002339,5,187.892286
90014.944102,250,192.789172
-157929.359603,250,197.681502
-217143.480763,9,197.859522
383093.785107,250,202.834691
337746.236381,250,207.650253
80503.776944,250,212.51671
-256163.233364,12,212.758317
-38738.497129,250,217.648007
-178321.962375,5,217.74428
-331314.592355,17,218.08086
791064.853048,250,222.941283
-97247.256207,250,227.801572
272231.412112,250,232.706573
-173177.143785,5,232.804397
-273584.588002,14,233.0932
530952.194463,250,238.227186
-172386.784572,5,238.324224
382712.178928,250,243.36003
-244434.018494,10,243.556263
134821.629139,250,248.520091
-189494.178383,250,253.495369
-241289.667937,11,253.68185
-221867.515361,9,253.836149
93211.268662,250,258.172199
-322056.892583,16,258.436956
99230.535439,250,263.96985
612140.766162,250,269.735341
669411.845569,250,276.165213
-170268.059026,5,276.328039
199452.335168,250,282.800329
-174543.709667,5,282.908271
-250659.210471,11,283.162233
320575.200181,250,289.03873
336379.310921,250,294.98695
-175579.021537,5,295.119205
598919.557538,250,301.077862
-172653.266038,5,301.209488
470112.959943,250,307.792386
319024.434412,250,314.712555
-174104.176235,5,314.850963
336490.959719,250,321.478969
290506.400013,250,327.877046
-183993.450967,7,328.034801
508175.339291,250,334.074218
-264594.582049,12,334.370657
-184077.013774,7,334.560365
-200599.0728,7,334.752229
-203330.764889,8,334.946226
-169251.775292,5,335.082358
305630.055145,250,341.492154
-201611.235096,7,341.669314
917108.713377,250,348.183069
323801.618054,250,354.169774
-200559.795517,7,354.331557
-173240.882105,5,354.446327
796445.752959,250,360.623213
1022667.088526,250,367.223158
1220943.688394,250,373.890231
-238746.529126,10,374.184144
836535.622161,250,380.717885
651318.451395,250,386.854839
-167832.638095,5,386.969447
-185549.141852,6,387.119995
1362112.660011,250,393.522698
-189279.096009,7,393.686994
1463597.184402,250,400.116376
-248634.00155,10,400.353149
619474.262737,250,406.858393
1441093.295075,250,413.574198
481516.775202,250,419.916211
1565887.254675,250,426.638199
1399981.869868,250,433.72039
-174697.003886,5,433.87903
-171049.600755,5,434.004214
-170499.057366,5,434.144089
754308.975268,250,440.259365
1472874.2512,250,446.236596
-216654.554837,9,446.45149
-210870.550316,8,446.649254
-178565.475626,5,446.774714
-172462.385246,5,446.880423
-190742.776156,7,447.042355
-162573.469129,5,447.173211
1286956.978231,250,453.013453
-191945.629512,7,453.195648
-175894.437903,6,453.347327
-190780.471124,7,453.498568
-166814.993471,5,453.613981
-182141.688678,6,453.760649
-235291.788049,10,454.006493
-221883.473588,9,454.238587
-244538.445714,12,454.528508
-175505.354509,5,454.64619
1081434.050694,250,460.615985
-364459.813815,20,461.172705
-190337.74679,7,461.329533
-171176.503403,5,461.431181
899453.248039,250,467.224977
-235746.308756,10,467.437747
1389275.375524,250,473.102025
-171770.003162,5,473.229599
-171029.174908,5,473.334553
2646770.729682,250,479.234026
1670654.713226,250,485.278801
-192057.611449,7,485.440181
3643114.084737,250,491.989402
1079945.486122,250,498.633758
1819398.233424,250,505.670389
