#{"t_start": 1761872559.275555, "env_id": "PulleyEnv-v0"}
r,l,t
-594770.355037,115,1.86331
-395315.373946,22,1.983503
-89812.974507,38,2.194666
-170567.816883,5,2.220629
-176392.464274,5,2.246902
-107398.482433,72,2.643914
-118828.151292,28,2.796273
-222588.704728,9,2.845036
-174463.982647,5,2.873292
-93736.975624,66,3.238374
-486887.254165,63,3.572027
-481951.843993,90,4.054004
-180398.220991,7,4.092472
-240313.330026,10,4.146465
-348041.626778,88,4.633037
-314475.936023,23,4.756832
-218482.425564,9,4.81476
-172531.344416,5,4.847777
-408151.718676,42,5.075851
-322747.47918,17,5.168698
-175650.696748,5,5.195156
-96470.649199,76,5.592106
-352196.928281,24,5.723533
-291099.746168,23,5.850097
-297093.438791,17,5.942296
-178441.804909,5,5.968798
-108241.370211,30,6.131688
-390003.933747,23,6.25543
-275423.463333,13,6.323661
-293598.081754,79,7.079079
-176645.804078,5,7.168344
-186618.837408,7,7.292197
-80230.871836,56,8.327361
-172838.441473,5,8.417215
-161142.71101,13,8.665131
-129187.743955,18,9.015102
-174304.128868,5,9.11097
-208658.813117,9,9.281677
-254304.401884,11,9.482555
-124740.128041,27,10.007281
-178040.823019,5,10.103921
-258865.481623,13,10.355971
-162571.684345,5,10.449384
-175490.742832,5,10.549425
-256635.557783,13,10.795586
-216028.470814,16,11.102137
-460855.853441,109,13.248663
-169985.67691,12,13.473825
-177232.693459,5,13.56816
-104722.40837,25,14.04163
-96964.930323,28,14.566762
-173934.342573,5,14.666297
-174465.112577,5,14.758459
-224547.190754,9,14.935533
-176027.430758,5,15.03049
-335158.746556,56,16.125341
-176397.453322,6,16.245671
-272868.861218,13,16.498218
-91886.911077,26,17.004722
-386064.504042,28,17.548824
-91237.259006,21,17.954178
-175660.398749,6,18.073831
-173237.865926,5,18.16614
-202386.693387,8,18.322176
-275861.978948,13,18.58543
-174959.456124,5,18.683707
-220120.556497,9,18.862766
-338024.701527,17,19.193967
-248123.83252,11,19.413042
-444513.646606,28,19.953803
-372291.117968,23,20.40621
-289274.172583,14,20.689847
-455313.355459,27,21.20852
-307400.480728,17,21.525548
-230919.672376,9,21.685119
-178695.907528,6,21.80707
-174036.284813,5,21.911178
-90935.995169,68,23.235641
-181920.768672,16,23.552212
-174902.089358,5,23.649832
-175959.655471,5,23.745985
-479437.05044,73,25.194454
-113067.677877,15,25.481942
-252782.622371,12,25.713665
-231941.517481,10,25.912555
-175853.78751,5,26.008764
-380757.306312,29,26.582926
-265868.57137,22,27.013026
-173126.654783,5,27.108604
-110239.759659,20,27.492479
-176414.934453,5,27.58975
-112273.353415,21,27.990816
-339605.096002,17,28.318115
-169800.491609,5,28.41705
-172798.449347,5,28.516174
-213317.599945,8,28.660273
-104622.093501,28,29.186825
-201679.888534,8,29.322663
-314822.872299,16,29.612277
-233643.469029,9,29.783147
-225725.363711,9,29.952396
-258521.592438,12,30.185143
-103088.320164,53,31.185375
-301587.1279,16,31.483295
-82633.826408,83,33.070158
-49847.04324,131,35.676703
-481958.055093,47,36.578845
-243340.393482,11,36.796675
-174389.405602,5,36.891237
-171590.905893,5,36.996078
-294672.809827,16,37.314422
-183694.136112,7,37.451536
-141813.271063,96,39.320147
-172800.196423,5,39.418451
-396052.996358,228,43.704571
-168433.541612,5,43.797384
-489358.765124,216,47.784976
-681127.665782,250,52.553627
189524.317713,250,57.304851
-167795.971681,250,61.939786
-176134.406698,5,62.029357
72962.56104,250,66.76349
-184639.891728,250,71.417962
-171178.587281,5,71.512706
-16393.197471,250,76.063942
189348.072713,250,80.721437
-462141.344334,250,85.395469
-185895.297163,250,89.918443
152816.747783,250,94.515255
-175711.269239,5,94.608046
325494.581267,250,99.287845
-170706.940144,5,99.389581
-37202.037674,250,104.019728
-531155.527034,33,104.621544
-297964.779553,15,104.917611
-138717.367402,250,109.59839
-214336.90843,250,114.300734
95204.354024,250,118.931569
164520.424801,250,123.551982
87464.387519,250,128.231332
106638.110293,250,132.832155
-179451.8935,6,132.951136
-172414.18747,5,133.04858
183378.476267,250,137.616448
110679.831877,250,142.344294
155661.350396,250,146.875045
-171239.649879,5,146.977125
-205408.443529,8,147.12003
62850.714682,250,151.634141
-162108.495536,5,151.737879
-174792.67946,5,151.828824
-171968.244104,5,151.920271
211364.910814,250,156.540914
-212254.890565,8,156.683954
-281966.295964,13,156.932202
-175119.016957,6,157.041319
-179197.101427,6,157.153797
-186548.45947,6,157.270033
-235744.226551,12,157.499908
-230045.64335,10,157.702032
-358712.131698,250,162.493603
-171921.979505,5,162.59971
