#{"t_start": 1761872559.277558, "env_id": "PulleyEnv-v0"}
r,l,t
-101109.303339,20,1.325731
-343652.39834,17,1.42051
-169894.319022,5,1.449018
-246133.088397,36,1.65549
-400598.09721,51,1.939956
-248084.517303,19,2.043331
-384228.300646,51,2.323503
-98938.919388,21,2.442496
-251889.239418,12,2.50676
-302406.917839,51,2.784148
-172394.284883,5,2.811158
-501234.76168,116,3.445571
-726562.337343,79,3.859635
-206820.649132,26,4.004892
-236379.152321,10,4.059425
-172184.555887,5,4.086401
-334800.176806,17,4.178146
-231484.409468,10,4.234728
-196643.615598,7,4.272323
-167487.794322,5,4.299727
-173167.524638,5,4.328517
-209486.968071,8,4.373163
-101913.475451,23,4.502774
-392175.881269,37,4.703288
-364312.763765,19,4.814306
-464005.93654,75,5.225347
-97810.816654,35,5.410443
-117293.11341,29,5.560909
-234198.555272,14,5.634015
-183622.902701,7,5.674216
-419048.310664,35,5.865256
-175180.121561,5,5.892403
-150967.910527,24,6.022698
-724203.636087,57,6.328655
-174006.813895,5,6.353754
-86164.471874,67,6.974821
-274427.970563,13,7.199367
-212144.008336,102,9.109953
-409722.638344,45,9.962198
-308966.391998,16,10.273464
-175126.934635,5,10.375543
-363759.976508,19,10.734573
-497626.252416,67,12.030184
-476959.078961,51,13.041165
-292812.594643,17,13.379544
-153331.580102,16,13.689377
-424270.723443,34,14.315692
-386597.831293,40,15.09131
-236269.190018,10,15.286019
-289348.644365,14,15.561535
-387025.142055,34,16.223889
-223462.136969,22,16.654459
-128035.974381,17,16.986496
-246218.033887,11,17.195092
-184008.979668,6,17.314952
-92404.323204,28,17.854957
-243713.210217,10,18.053261
-281813.546715,32,18.683691
-307547.904546,22,19.112936
-238329.416565,16,19.430822
-95834.239492,20,19.814595
-92807.735083,12,20.044471
-375252.915123,21,20.466997
-109058.11045,35,21.147245
-81699.573968,94,22.970617
-166502.782323,26,23.468091
-171458.631582,39,24.250087
-110549.965096,13,24.492135
-118368.85578,27,25.032661
-358761.117101,22,25.460424
-143950.1336,30,26.047146
-253602.966999,12,26.280081
-209744.717879,8,26.441314
-112140.64638,77,27.930671
-166575.78626,34,28.589651
-513030.374043,32,29.186168
-235128.804008,10,29.354963
-197502.338099,7,29.484311
-357523.170795,33,30.107839
-592773.169578,54,31.124568
-365977.148564,20,31.499387
-364556.989571,20,31.880632
-323683.567737,17,32.19493
-173038.669949,5,32.288381
-350171.46938,18,32.633943
-337388.618205,18,32.986361
-111048.636231,22,33.434328
-141406.415842,17,33.760588
-232997.992812,9,33.937267
-504310.405043,35,34.636437
-264893.078854,12,34.87657
-246025.074041,16,35.19943
-83387.276023,56,36.289113
-639047.836915,100,38.252147
-455819.831212,119,40.525738
-170209.264617,5,40.615089
-256179.146994,11,40.821525
-193947.012492,7,40.958655
-297362.441281,14,41.21189
-101773.729977,46,42.0651
-106971.988372,26,42.565773
-78827.605647,154,45.439835
-175107.448069,5,45.529861
-115642.148119,161,48.519177
-174388.027734,5,48.618858
-335172.782317,17,48.937523
-577546.705737,250,53.734547
-169854.832004,5,53.831758
-324576.352858,250,58.517654
-171204.871569,250,63.167659
79153.952338,250,67.900231
-455526.836112,250,72.544165
-230467.890444,250,77.102486
84646.551075,250,81.81518
55720.824638,250,86.43118
113719.956638,250,90.932089
108252.470513,250,95.52095
267276.01862,250,100.253478
-134387.130964,250,104.87359
-226116.125819,10,105.05338
-233438.176023,10,105.234899
120160.656683,250,109.950225
96245.080776,250,114.636111
124291.533537,250,119.252554
-259652.899004,12,119.488837
-184705.677012,6,119.596116
394638.345753,250,124.226329
-174313.205434,5,124.325756
162197.408499,250,129.016351
407392.006498,250,133.610482
110274.661719,250,138.214368
128301.584353,250,142.896135
174862.136703,250,147.436754
124407.198682,250,151.955718
-176108.864233,5,152.046135
-174217.518834,5,152.139637
-31534.863395,250,156.758985
-175184.173562,5,156.856845
-189067.12222,250,161.634105
-347414.947571,250,166.561175
-204461.728732,8,166.717641
393704.328362,250,171.669659
-161644.807054,250,176.643577
-1416.062565,250,181.494074
79450.066542,250,186.452604
113737.727897,250,191.308132
-226566.147471,250,196.218494
275447.171922,250,201.229635
220945.716438,250,206.053668
189959.943037,250,210.893873
-192632.412639,7,211.027707
350933.426844,250,215.881874
251203.199393,250,220.781881
-174886.786899,5,220.883565
377385.749174,250,225.733382
497007.524159,250,230.620557
781147.868664,250,235.572568
124311.941521,250,240.715239
133585.034213,250,245.684115
417171.250243,250,250.753428
-221838.028163,9,250.937362
343832.20608,250,255.533321
265269.047582,250,259.972972
-239534.036904,10,260.21237
161655.889577,250,266.150095
-162702.26402,250,272.268984
561056.678049,250,278.565683
-204143.633165,8,278.802944
575212.991066,250,285.016479
-170699.317017,5,285.142219
223478.882096,250,291.091602
851536.555216,250,296.892321
-342704.557615,19,297.347845
592897.465869,250,303.708517
443495.909947,250,310.374763
139248.951998,250,317.246662
-208001.129604,8,317.473776
-185485.635213,7,317.65544
649717.114295,250,324.085108
-175406.405972,5,324.20045
235088.828498,250,330.436402
-220402.185861,9,330.650885
-177110.746301,5,330.786106
318860.79191,250,337.063273
906181.175587,250,343.463508
818002.579413,250,349.936337
426069.805735,250,355.823291
503552.468683,250,362.156098
-178623.636461,5,362.270719
-200374.175201,8,362.495113
1211047.621038,250,369.13704
-177434.957077,5,369.271144
1106144.586909,250,375.964117
784223.773702,250,382.453358
416571.263405,250,388.44873
498869.99132,250,394.972355
750575.341497,250,401.350589
752719.95156,250,407.918702
-174080.848726,5,408.039553
-176323.742358,6,408.227449
1764235.785624,250,414.743906
-170400.367891,5,414.857842
-178070.506918,5,414.961205
-174671.679016,5,415.081831
2095954.224817,250,421.696604
1932655.812888,250,428.502982
2114887.794774,250,435.36263
-172343.785539,5,435.489057
-172958.824938,5,435.630646
2355502.640015,250,441.715795
1751061.432853,250,447.60777
969160.311185,250,453.499606
1662642.266275,250,459.470842
1390026.115838,250,465.375653
-172858.474955,6,465.515403
1591944.362812,250,471.32116
-173722.747594,5,471.433313
1576543.825928,250,477.127329
-207616.080123,8,477.325544
1356913.495016,250,483.373378
-212682.93765,8,483.572286
-172710.62435,5,483.693864
