#{"t_start": 1761610435.1343722, "env_id": "PulleyEnv-v0"}
r,l,t
-87191.777906,28,1.34782
-126382.913727,1,1.358123
-92837.634556,13,1.432697
-24206.887628,70,1.804505
-173285.124043,1,1.804505
-117644.138887,1,1.81485
-126411.914989,1,1.826522
-126281.542399,1,1.826522
-117654.787253,1,1.83426
-64321.243081,74,2.236798
-92447.094097,25,2.364478
-57043.017658,107,2.964406
-73764.68124,105,3.570156
-135092.777633,1,3.582001
-50083.82813,102,4.144381
-174842.527029,26,4.281255
-119170.520041,13,4.365459
-95680.28576,31,4.531116
-72952.635106,64,4.885199
-117547.877989,1,4.892064
-79768.459554,89,5.4064
-135221.457679,1,5.41433
-100163.251971,25,5.556208
-118614.11559,33,5.75887
-97617.556016,45,6.022304
-225361.622655,21,6.141258
-134995.955942,1,6.141258
-126260.947785,1,6.154909
-76272.908406,85,6.632435
-68013.552907,58,7.432704
-126367.242529,1,7.45323
-90479.007604,38,8.172408
-84228.931074,37,8.842961
-271329.432242,3,8.895075
-143809.732411,1,8.915626
-143959.322027,1,8.933166
-161311.929731,1,8.955222
-176416.459255,44,9.771408
-188266.688824,22,10.17261
-194068.545805,18,10.533809
-97766.570045,18,10.862913
-93230.62258,12,11.09234
-91374.969381,18,11.441579
-201173.931243,34,12.088231
-71467.979956,55,13.045902
-194572.600144,25,13.486585
-83319.743319,27,13.953187
-97721.271148,14,14.201362
-143911.879798,1,14.220588
-143934.904757,1,14.234643
-135039.557464,1,14.255314
-126400.641278,1,14.275432
-85317.683857,43,15.083983
-117558.977039,1,15.104246
-86815.912715,42,15.906678
-117566.2345,1,15.9269
-111922.996986,48,16.891719
-167404.441605,27,17.389035
-81965.44682,31,17.925206
-305167.277555,3,17.987875
-95527.661108,22,18.390949
-112010.045143,24,18.835852
-143200.170233,49,19.788332
-93285.027483,61,20.948159
-209511.257879,33,21.582567
-82211.630903,37,22.28909
-106288.566538,21,22.648368
-143809.785768,1,22.665822
-216379.145101,17,22.969777
-161590.351174,1,22.988132
-133062.005779,27,23.459829
-96213.167533,22,23.848486
-119975.052632,33,24.506143
-144010.722501,1,24.527233
-88905.510219,21,25.114481
-84179.851665,97,28.81863
-91929.382363,18,29.535423
-192699.623186,43,31.078858
-161456.59835,1,31.11019
-88397.46486,37,32.078353
-125420.626477,37,32.986654
-96006.579711,15,33.337796
-128462.553355,1,33.358072
-165072.711034,86,35.785898
-98874.378526,60,37.300145
-166516.10103,39,38.302333
-174506.728227,28,38.994006
-135090.792471,1,39.021106
-161480.605914,1,39.045922
-117454.029611,1,39.078869
-154361.935896,60,40.644992
-240726.517776,14,41.02273
-161531.208575,1,41.054658
-117546.883028,1,41.076775
-166344.599717,16,41.432936
-126480.84793,1,41.457793
-59762.462361,76,43.314235
-194653.525664,48,44.487381
-90000.896857,20,44.980119
-104752.885039,14,45.340175
-79416.959174,53,46.628371
-186385.687322,16,47.042974
-113988.770287,47,48.254401
-170306.134274,1,48.287757
-256185.717496,25,48.97911
-91454.924233,37,49.805224
-170336.238699,45,50.855474
-136919.712112,42,51.821454
-53632.136104,71,53.567843
-117664.65766,1,53.598731
-123024.753396,31,54.361816
-84023.519386,44,55.46134
-74184.843369,68,57.184053
-117573.09606,1,57.209644
-46497.248753,87,59.481236
-161385.789163,1,59.535231
-135233.054066,1,59.577613
-160328.278403,1,59.608707
-117649.311079,1,59.650788
-114140.594707,139,63.748933
-126283.294035,1,63.773529
-143970.361092,1,63.803406
-83120.714862,33,64.797105
-176444.699933,45,66.570454
-126301.376303,1,66.616096
-93647.793531,21,67.454687
-28884.962592,120,71.359669
15365.085681,250,77.555047
-106056.459407,156,81.262403
16679.255922,250,87.658528
91845.036094,250,93.741379
-29329.920524,100,96.507553
157784.830745,250,103.299474
-53593.863693,250,109.332229
-90568.401673,192,114.257195
-66392.494257,67,115.879174
-117554.276903,1,115.895277
-250090.073475,2,115.946158
-24313.543336,250,121.98946
120195.655683,250,128.308475
171902.945326,250,134.599488
-160386.289973,1,134.623264
6589.744154,181,139.039561
100264.753166,250,145.364069
-126275.818581,1,145.384244
167073.932075,250,149.886802
-121776.540483,60,151.044473
-126184.110323,1,151.064925
162795.82056,250,157.481849
-26949.702946,130,160.264193
1086.3767,214,164.265433
-21727.743084,189,167.938398
130336.707842,250,172.709274
-134997.641693,1,172.729481
-49631.301824,241,177.096736
152931.891667,250,181.364749
-144009.498662,1,181.385388
-55248.589811,135,183.993826
-161557.29863,1,184.018086
-11858.722236,122,186.233751
-96712.694806,235,190.325396
-156553.988396,74,191.541691
23188.973487,214,195.195455
130544.119517,250,199.666363
-3900966.660192,177,203.018937
-333310.787211,3,203.080245
99239.336599,250,207.895978
-526.3864,179,211.390334
-75033.620096,100,213.373709
-87503.798565,171,216.724877
-76059.787429,76,218.186962
-95470.879867,146,221.039005
-60898.722592,192,224.736496
-20471.952603,154,227.715141
-45625.618605,90,229.461858
