#{"t_start": 1761610435.1460595, "env_id": "PulleyEnv-v0"}
r,l,t
-182367.338917,16,1.274786
-73889.41169,59,1.600419
-169913.994368,89,2.078833
-114570.442465,38,2.285393
-135196.905751,1,2.285393
-135244.463533,1,2.301453
-126368.010047,1,2.301453
-65225.890622,43,2.536713
-58442.925335,77,2.95803
-65542.032799,95,3.487888
-92109.581877,43,3.755012
-117555.600532,1,3.755012
-95056.3087,59,4.092016
-191077.289524,69,4.474476
-154451.015876,59,4.795948
-75149.442744,41,5.03525
-94962.097732,21,5.144223
-140475.368064,28,5.313519
-66602.17346,79,5.77943
-96152.382138,25,5.930048
-239721.85971,19,6.040609
-70936.010074,58,6.36503
-84381.709619,21,6.485999
-93029.73732,49,6.774174
-69876.824326,58,7.886759
-153613.192555,50,8.811233
-278878.901395,15,9.083777
-149351.330514,50,10.020712
-205108.957374,11,10.222574
-75455.576682,54,11.24911
-123869.129564,18,11.612607
-117553.120813,1,11.629267
-92201.727471,20,12.004372
-98465.753911,18,12.319428
-117546.406527,1,12.342512
-126468.733312,1,12.362942
-37933.025089,82,13.788533
-58201.13312,94,15.521086
-652171.247767,33,16.165436
-104171.85026,37,16.922865
-136864.509633,16,17.219902
-409569.033704,29,17.730853
-184093.96513,13,17.955116
-98249.356556,16,18.251106
-228160.716649,2,18.291851
-94395.11543,46,19.159986
-128587.00462,49,20.096671
-73375.15664,83,21.687032
-117550.759059,1,21.711042
-146811.485447,38,22.413801
-63871.588833,70,23.655164
-117546.869056,1,23.673553
-73676.233701,48,24.613445
-95997.133143,10,24.854694
-160118.887685,13,25.383326
-95813.841098,24,26.248984
-135087.058728,1,26.289584
-138876.283221,1,26.331542
-117545.571235,1,26.378696
-259277.610668,51,28.289096
-147467.338537,75,31.10623
-203796.760657,59,32.586259
-135089.447057,1,32.606703
-117556.608328,1,32.637315
-115495.908581,44,33.706592
-161388.433937,1,33.726883
-117656.324777,1,33.747256
-126928.056594,51,35.228542
-90949.034778,75,37.21122
-135095.706405,1,37.245104
-66341.439275,73,39.092336
-207328.805946,53,40.47743
-77022.792973,44,41.596787
-72038.007582,39,42.512503
-126368.078933,1,42.533263
-91789.650857,14,42.86455
-161483.24994,1,42.895751
-126403.8662,1,42.919337
-117022.017751,30,43.66977
-91423.779684,19,44.139786
-185304.359508,2,44.180666
-292698.697783,20,44.674695
-87551.032763,15,45.038418
-97650.161593,22,45.594754
-117561.003958,1,45.62322
-135297.670086,1,45.653405
-135082.238671,1,45.673959
-95220.134805,15,45.999569
-175893.602062,23,46.592533
-126337.508594,1,46.621682
-174206.47482,38,47.52292
-75259.311392,29,48.354059
-89153.011212,22,48.971132
-196881.959907,32,49.694254
-188002.283936,70,51.305808
-143918.241984,1,51.320485
-135087.880269,1,51.354015
-126369.501482,1,51.374826
-117649.168037,1,51.391304
-161596.893404,1,51.418116
-126379.980872,1,51.441594
-95126.679892,35,52.259712
-6215.72257,197,57.201079
-85400.715887,42,58.280633
-143889.467094,1,58.298934
-260791.708849,17,58.717918
-10941.782192,193,64.29564
-153243.179756,15,64.945957
-78391.054765,56,67.172512
-176657.772736,30,68.306224
-161493.492738,1,68.347495
-135207.22156,1,68.376567
-91091.993993,18,68.898057
-135145.663153,1,68.931264
-61124.004369,55,70.70594
-56811.75071,71,72.540021
-324096.515106,16,72.905787
-65822.587636,58,74.374914
-182526.408233,140,77.976117
-126493.507458,1,78.0023
-79224.295081,186,82.484554
-23314.800234,132,85.934612
150332.616275,250,92.061441
2853.006404,196,97.16996
-58693.968133,192,102.327304
19915.057117,250,108.511236
158363.507453,250,114.860574
130546.614752,250,120.774572
-13573.239124,170,125.006578
155169.800745,250,131.391251
-1070032.346162,198,136.164962
-98112.414014,165,140.405246
-135029.268307,1,140.435806
-161626.984298,1,140.479688
114862.032635,250,146.480183
16797.78813,250,150.926292
-90108.048168,250,157.278646
-42621.089111,147,160.414308
-42100.449033,105,162.345894
-117659.832637,1,162.376867
168208.408767,250,167.24784
-124894.934083,119,169.404743
151281.59364,250,174.143512
9122.527146,250,178.7395
-117551.598943,1,178.756053
-126861.630631,1,178.777936
-163764.32676,112,180.570759
-55342.342735,100,182.453669
137479.383217,250,186.985658
-135223.417505,1,187.004737
-7663.261119,157,189.775302
-82857.989995,175,192.663549
-104646.859549,95,194.275899
-28220.838889,175,197.400547
-117565.082682,1,197.425997
-19390.834146,147,200.079295
-97450.653284,204,203.979857
-174684.837235,1,204.001099
-40700.99717,123,206.356169
-45577.699861,94,208.183416
-84674.951773,170,211.499945
-34559.862917,108,213.628905
329.219257,163,216.829195
-24869.958334,141,219.578571
-91555.971459,181,223.088446
-135227.274021,1,223.109951
-3551.959746,196,226.865612
62002.974157,250,231.73263
-160371.588254,1,231.753102
-117545.359399,1,231.779213
-62709.160259,83,233.409506
-9345.014316,238,238.003094
-36464.048397,123,240.369551
-41836.771869,113,242.517183
-25115.594805,118,244.801757
-56830.55002,82,246.41884
-126477.355338,1,246.439214
-117545.859996,1,246.459888
-40365.826152,112,248.644086
-190189.141132,71,249.997452
-64773.492611,112,252.150027
-176171.495685,105,254.117044
-120893.336597,70,255.464545
42412.870579,202,259.408821
-143908.891073,1,259.430104
-135247.746905,1,259.450603
20718.538096,250,264.329865
-65573.555885,70,265.705448
-50407.439695,88,267.399485
-143838.212385,1,267.422174
-135090.76794,1,267.454085
33964.95588,234,271.902561
125075.571717,250,276.765211
-144060.795464,1,276.783909
-70605.234143,54,277.751975
-144732.767415,54,278.773518
-63123.871536,75,280.242064
-53843.526576,157,283.175112
-80886.245966,45,284.03785
163461.829115,250,288.808525
-143825.027394,1,288.838888
-115761.791539,83,290.423997
-61340.556097,89,292.143132
-183409.795071,47,293.075217
-58784.810407,193,296.806056
-122450.739021,220,300.974465
-52571.823087,108,303.010687
-117547.499229,1,303.031092
-117545.864143,1,303.051628
-134344.722173,90,304.799019
-93685.996698,32,305.409046
-186304.589714,100,307.34657
-143922.564434,1,307.364776
-126169.975238,1,307.392946
-28237.073999,133,309.918262
-222124.404634,104,311.911422
-54827.183716,79,313.407314
-71883.32151,86,315.075862
-202206.995469,103,317.097697
-30461.457034,131,319.620188
-135087.168423,1,319.640329
-52959.924752,148,322.455676
-143922.386172,1,322.486457
-178973.421492,1,322.506496
-76326.890057,114,324.532418
-117547.393102,1,324.558496
143255.776466,250,329.132995
-146822.516057,234,333.422691
-16280.346057,156,336.250116
-117547.773232,1,336.270494
71071.555481,250,340.905737
121563.601291,250,345.40901
-112378.957205,59,346.44951
-166500.414771,1,346.473338
-155654.448204,181,349.763413
-21540.546473,154,352.624383
-2660.018448,166,355.742816
-135128.045894,1,355.77288
-62917.989741,250,360.295285
122017.339214,250,364.971238
104200.47445,250,369.585739
61995.18737,250,374.165892
-161992.368943,208,377.888673
73023.101883,250,382.44956
142681.151647,250,387.06666
-117552.268133,1,387.087972
25842.751716,212,390.920736
34808.644154,209,394.683656
30888.061848,250,399.332257
-126388.877149,1,399.352559
113076.922756,250,403.880361
-126288.990788,1,403.896704
-117550.819967,1,403.920521
-87521.14797,236,408.21284
42049.473861,250,412.786018
-177811.785081,1,412.810998
-117547.027652,1,412.828395
-126395.346463,1,412.846554
37779.053302,250,417.352817
144889.083922,250,421.857627
20243.269294,202,425.565503
123759.482418,250,430.120268
134847.023805,250,435.193337
67469.398608,250,439.985034
121216.134959,250,444.925265
-51355.775187,250,449.905134
200482.115725,250,454.795169
130779.465772,250,459.709846
-95909.142604,250,464.608327
48231.623191,250,469.633507
191715.952298,250,474.725177
-126275.760815,1,474.745399
61035.081866,250,479.608055
190291.885415,250,484.500683
113921.176029,250,489.648048
-135111.807201,1,489.67937
136441.671465,250,494.887944
-143924.994681,1,494.911314
14760.043908,250,500.03518
-126371.071023,1,500.05528
111113.97822,250,505.378059
122071.970997,250,510.534487
223763.270652,250,516.052168
275248.004307,250,521.384137
-143916.131154,1,521.406505
144104.118193,250,527.048436
-49074.932555,250,532.81452
11233.391054,250,538.560211
67448.255815,250,543.634072
95933.757531,250,548.587692
65332.320515,250,553.441457
44957.650557,250,558.286163
102081.189852,250,563.399059
131263.473855,250,568.097598
322926.832078,250,572.902644
134870.783825,250,577.691791
199386.387031,250,582.461916
-3074.718925,250,587.211115
94609.973337,250,592.09236
-135099.6309,1,592.117501
109005.086114,250,596.900538
41868.30051,250,601.588569
-12314.208288,250,606.439111
264321.733542,250,611.219171
-11735.17529,250,615.980618
62594.622204,250,620.710855
191747.941939,250,625.476582
90260.025014,250,630.188132
114029.89679,250,634.862264
425214.955917,250,639.731512
20970.382101,250,644.531999
-126468.262851,1,644.542424
-135093.348567,1,644.573073
205480.206232,250,649.276798
-5256865.943881,250,654.032604
287976.316415,250,658.753613
-117552.579097,1,658.774045
110109.617926,250,663.472487
137997.321367,250,668.272327
148652.762586,250,672.927693
225903.471929,250,677.675084
73446.017306,250,682.42093
266854.929955,250,687.274256
-135085.686261,1,687.306763
136340.215891,250,692.186157
122576.655591,250,697.102734
253987.683176,250,702.043952
-170125.391842,1,702.06611
133196.296606,250,706.876545
101745.24979,250,711.799839
-226613.427834,250,716.921489
-126283.311733,1,716.944841
76674.483931,250,721.896542
484758.153171,250,727.040111
401531.118144,250,731.983094
478675.117091,250,736.90147
42284.227197,250,741.846271
237343.520851,250,746.825461
1033.430136,250,751.71605
-135209.202802,1,751.736386
121495.033565,250,756.655009
87338.648001,250,761.564614
104249.337841,250,766.378744
159691.075126,250,771.268066
46447.89026,250,776.20786
39100.626315,250,781.181663
135241.87362,250,786.162396
151263.677456,250,791.145922
129082.234127,250,796.044481
97741.528604,250,800.920981
-117669.237534,1,800.949335
236579.098616,250,805.829913
317065.305774,250,810.53507
252056.476912,250,815.328397
-178284.120284,1,815.343279
-32758.091908,250,820.175358
93887.943557,250,825.008956
154107.717937,250,829.717653
-161455.972015,1,829.746801
-189102.696385,2,829.795215
114545.441425,250,834.562683
351475.300936,250,839.327637
117486.743106,250,844.095439
-135114.329132,1,844.12014
304089.709261,250,848.930649
528961.979533,250,853.666306
53110.368819,250,858.363033
-12946.718519,250,863.076308
223423.835869,250,867.802343
-135116.892669,1,867.822278
127981.328563,250,872.461236
131576.722814,250,877.293829
266243.045655,250,882.089923
311037.709019,250,886.805163
-3561.355796,250,891.533977
-6567.138143,250,896.365365
109122.043139,250,900.901135
133229.881097,250,905.977707
108207.371425,250,911.810105
26538.640523,250,917.109015
15434.778728,250,921.705863
88217.985127,250,926.496284
428595.106299,250,931.298028
138654.402178,250,936.109835
111370.884639,250,940.979993
327026.923009,250,945.826988
201721.607148,250,950.619426
242119.834333,250,955.519701
112981.20203,250,960.331716
570100.714065,250,965.178727
47624.502175,250,969.989213
238624.179336,250,974.846616
297311.401772,250,979.747776
45303.454089,250,984.69606
93630.020761,250,1072.559454
-126266.97275,1,1072.590159
-246711.701691,2,1072.630966
414746.147257,250,1077.220807
-530629.582353,250,1081.82494
335413.902233,250,1086.374618
577481.665747,250,1090.435515
-275159.39789,3,1090.492502
-135181.304772,1,1090.512423
-135129.571031,1,1090.527284
-126410.793985,1,1090.547619
340352.347598,250,1095.064581
402848.953775,250,1099.646923
136321.376205,250,1104.281222
130913.863714,250,1108.940592
-161396.6689,1,1108.965081
104065.247676,250,1113.508772
-126383.455852,1,1113.529143
436017.062887,250,1118.111617
303618.592083,250,1122.688506
436872.258079,250,1127.262528
22746.922278,250,1131.906386
-143824.71474,1,1131.927052
126758.720873,250,1136.568307
130469.994311,250,1141.085427
137513.419915,250,1145.620432
11256.229026,250,1150.153287
436382.57293,250,1154.762938
283884.741724,250,1159.308578
485730.163988,250,1164.007568
-117558.957666,1,1164.02999
-126168.474101,1,1164.055274
2878.318075,250,1168.883595
-135128.784722,1,1168.904166
62355.99041,250,1173.801028
348660.181401,250,1178.674041
-117673.491533,1,1178.695867
-117546.46298,1,1178.706308
370303.365333,250,1183.618734
114629.068783,250,1188.474183
5291.158848,250,1193.268164
147572.182523,250,1198.168054
285606.58006,250,1202.993181
126321.108498,250,1207.84377
-134097.879873,1,1207.86726
-143946.374491,1,1207.891441
719415.049457,250,1212.743946
76945.391717,250,1217.585812
-117559.39853,1,1217.608152
137693.991574,250,1222.361405
283022.108827,250,1227.215082
83942.67701,250,1232.060049
149371.953133,250,1236.890253
-161466.032973,1,1236.920913
515131.865778,250,1241.797013
135027.640041,250,1246.733044
-17404.780374,250,1251.661689
1199.35226,250,1256.659363
119449.126197,250,1261.65294
-135191.557446,1,1261.677974
-126282.160114,1,1261.702656
-187955.055405,2,1261.742142
19823.910864,250,1266.69819
-195765.157918,2,1266.74562
-24915.769105,250,1271.67183
63583.04426,250,1276.598937
-135122.975143,1,1276.626257
-117443.791152,1,1276.650442
425290.0813,250,1281.523639
516434.547007,250,1286.149686
132482.407354,250,1290.604724
-143833.666438,1,1290.632877
-117571.649373,1,1290.654862
193080.60622,250,1295.488231
117029.814558,250,1300.258819
228339.34483,250,1305.126608
470159.421387,250,1309.978301
577271.353498,250,1314.710243
130779.178806,250,1319.504052
138581.023261,250,1324.2623
370506.205424,250,1329.172709
53913.717898,250,1333.974722
170795.479595,250,1338.654725
130824.953075,250,1343.424643
442941.688571,250,1348.271627
83507.687646,250,1352.999976
-117551.316568,1,1353.021228
215875.021272,250,1357.693453
603115.123057,250,1362.492584
27161.787103,250,1367.259995
270002.861382,250,1372.083797
108495.052531,250,1376.892568
173186.78268,250,1381.72953
-2711.103581,250,1386.524525
15935.073856,250,1391.292487
-117568.296532,1,1391.308564
-135118.896973,1,1391.338148
-135086.829668,1,1391.359141
15185.458663,250,1396.175658
130081.63091,250,1400.919569
476038.8334,250,1405.954134
-135200.621382,1,1405.984934
464251.007982,250,1410.984041
126216.961829,250,1415.860302
687592.724087,250,1420.796623
231017.273416,250,1425.717002
-187720.782831,2,1425.755493
326353.461309,250,1430.646227
-117667.900377,1,1430.66547
724150.075742,250,1435.632013
-105973.329233,250,1440.610012
495241.802241,250,1445.59233
-126384.144854,1,1445.622538
-117556.774909,1,1445.646912
38226.165792,250,1450.481941
-14251.591291,250,1455.370471
-135093.546981,1,1455.394301
-135124.494958,1,1455.416966
582753.058831,250,1460.320703
-117554.53272,1,1460.340475
-143827.209168,1,1460.358881
601.900504,250,1465.310764
-135156.853673,1,1465.341775
108583.530205,250,1470.22634
615287.689371,250,1475.123789
-117555.05774,1,1475.143911
-225321.915621,2,1475.193951
