#{"t_start": 1761610435.1343722, "env_id": "PulleyEnv-v0"}
r,l,t
-294293.943974,14,1.281132
-135191.416404,1,1.286473
-197178.827729,59,1.603688
-260732.356763,40,1.81485
-134622.434936,23,1.941247
-99722.644452,23,2.064605
-117651.2279,1,2.064605
-117606.986947,1,2.077954
-135109.283522,1,2.082964
-88212.362242,25,2.217943
-89519.294939,19,2.31314
-204636.113832,45,2.570344
-90018.816328,29,2.730512
-283287.435249,24,2.862298
-126421.516222,1,2.864406
-238246.096768,68,3.249385
-258412.271256,30,3.410186
-188183.290789,28,3.600319
-58635.372261,60,3.924084
-84190.268567,34,4.110135
-183078.485601,21,4.220159
-98165.697637,54,4.531116
-216153.173976,16,4.613365
-65361.057976,75,5.045914
-133123.117238,1,5.046937
-61369.497526,85,5.538139
-86363.786045,22,5.681516
-176279.849708,36,5.890965
-161557.745443,1,5.890965
-127366.230568,21,6.016938
-143815.751702,1,6.022304
-91508.096336,26,6.171074
-97389.41221,16,6.267732
-83483.454071,34,6.449587
-87805.671987,23,6.577096
-99896.398196,24,6.72357
-231485.615062,47,7.510477
-75259.354089,70,8.80476
-86179.588838,19,9.146706
-133049.86815,16,9.451487
-164646.629003,17,9.771408
-247365.517103,26,10.254329
-228288.591585,2,10.295102
-143930.482031,1,10.315476
-365918.347897,9,10.489429
-306144.856011,13,10.739591
-77612.313788,54,11.78294
-83835.304018,31,12.331115
-232429.620604,42,13.060096
-133239.856501,11,13.252172
-79720.881519,53,14.182386
-99747.480233,19,14.532961
-102823.775257,50,15.481199
-89282.645186,32,16.09331
-132590.711416,13,16.342954
-93942.504861,50,17.339707
-210503.824425,46,18.151551
-149938.200274,1,18.170016
-55331.532922,152,21.072088
-57046.334757,60,22.201562
-92054.263813,27,22.683197
-157896.410576,32,23.241569
-117545.75858,1,23.264015
-210046.204701,24,23.699882
-161466.089064,1,23.720386
-72468.04192,52,24.775103
-102444.752848,19,25.482157
-135108.296935,1,25.529908
-93681.476154,25,26.429528
-14604.336359,95,30.129359
-135094.058874,1,30.164886
-126291.54413,1,30.213152
-176643.878167,36,31.328306
-186824.894049,37,32.255283
-71629.591659,57,33.622232
-126407.627062,1,33.653445
-117653.773916,1,33.686773
-258189.046983,63,35.513412
-97788.687798,17,35.978741
-150102.34733,1,36.016493
-64695.368403,66,37.709741
-126381.013452,1,37.73427
-84789.547345,31,38.481456
-126361.948463,1,38.508553
-92767.38722,18,38.975011
-117548.94196,1,38.994006
-55586.45943,82,41.156551
-207121.509768,16,41.510588
-135086.49543,1,41.538758
-282567.672238,40,42.491627
-95851.11969,21,43.006561
-117646.834792,1,43.04215
-316850.988717,74,44.8731
-162868.160312,11,45.126707
-196577.381591,52,46.398115
-110939.626087,13,46.732507
-135117.430809,1,46.756269
-126388.491154,1,46.773183
-126373.429692,1,46.816644
-230132.61637,34,47.614265
-69664.832477,72,49.50164
-190771.773241,50,50.677101
-93763.135442,29,51.332172
-28980.469472,160,55.234535
-148317.169728,102,57.836009
-76607.019296,60,59.419136
-69266.578474,67,61.748271
-82350.250447,38,62.802364
-3174.370019,148,67.687564
-153506.409329,46,69.265722
-252935.659323,77,71.583196
66219.885507,250,77.85539
-91047.96784,161,81.612426
181189.967596,250,88.013568
-134982.980084,1,88.037064
-117547.983342,1,88.059113
-235345.73257,2,88.098213
-7943.027529,250,94.228735
721.506917,250,101.140747
60537.371394,250,107.445546
83622.758497,250,113.606039
63938.565589,250,119.676104
68746.637814,250,125.875174
155663.700528,250,132.269279
32716.332469,223,137.624532
-117549.919704,1,137.655384
-173882.165769,127,141.045585
-134989.93787,1,141.079569
164263.518791,250,146.927147
98149.441953,250,151.317474
158071.049581,250,157.923732
-126369.4273,1,157.949007
-126374.209353,1,157.973577
139020.612975,250,162.825454
137645.173476,250,167.612223
-126278.935822,1,167.632236
171200.214703,250,172.380008
121027.837396,250,176.952373
-41670.208377,239,181.031258
-117557.335352,1,181.041617
44258.672249,220,185.227751
-91220.098715,119,187.259743
-37765.737802,151,189.946394
128915.239732,250,194.102633
-294598.731058,3,194.163538
-55747.875596,139,196.641288
-192521.69745,63,197.772877
-135112.839487,1,197.793034
-35911.861841,214,201.70769
-4958.033506,159,204.792422
-135092.694112,1,204.808003
-68296.437855,121,207.134659
-126269.302086,1,207.155872
-10373.987903,184,210.731194
-231775.782326,42,211.571254
6530.900874,168,214.879128
-76363.762614,80,216.452382
-101286.957135,113,218.652303
4442.101107,194,222.388178
-135234.616719,1,222.40956
-258174.551448,33,223.076554
-30410.475057,120,225.354591
-203234.583215,78,226.873676
8000.772839,182,230.406408
-117642.119844,1,230.424722
-135007.582781,1,230.45838
-21099.596769,169,233.760957
-116121.207109,12,233.994658
-10639.28259,147,236.861061
-161351.529221,1,236.888248
-54151.331863,92,238.641409
-32014.981336,118,240.901024
-47048.394018,109,242.982195
-46020.374628,169,246.270463
-83051.285417,56,247.35553
-75039.823269,106,249.406598
-95370.57728,57,250.503528
-65514.302494,118,252.760974
-161456.197031,1,252.781062
-126271.438589,1,252.805469
-30405.250106,250,257.58544
-212238.300481,33,258.228344
-117558.321768,1,258.250129
-26043.413731,110,260.441377
-99928.548897,114,262.653408
-135109.563629,1,262.671484
5292.182727,202,266.598535
-70149.716781,73,268.016122
-58477.086378,133,270.546994
-173187.081542,131,273.045726
-162351.223983,106,275.10237
1996.893774,184,278.593956
148399.637405,250,283.342081
-161347.290634,1,283.364546
-161473.984112,1,283.38874
-177642.407047,126,285.77409
-17859.907237,138,288.417912
-63595.669519,58,289.554764
-103131.321777,84,291.139945
-163653.479576,186,294.774803
-116739.258971,35,295.448451
-89905.168489,79,296.974075
-90769.447217,33,297.604511
-117564.842059,1,297.624934
-135105.223305,1,297.643664
-126475.566818,1,297.657376
-49653.948597,104,299.635869
-76617.100212,58,300.70624
-186173.975934,2,300.744812
-6355.438758,202,304.621874
-67514.628162,67,305.888539
-134986.430388,1,305.919755
-83911.190785,112,308.087145
-61782.348142,167,311.264206
-143912.41118,1,311.281303
-96584.879211,127,313.721214
-120170.832787,34,314.386434
-134996.793833,1,314.406786
-6743.027535,101,316.362636
141548.086328,250,321.199481
-98365.117221,46,322.083166
-126272.367044,1,322.107678
-135093.416169,1,322.126352
-117548.282852,1,322.149703
-273415.16665,185,325.435498
-55709.742638,89,327.098279
-117082.284045,99,328.90177
-45854.825111,111,330.927782
-117447.133794,1,330.946649
-135098.337199,1,330.96568
-117659.198646,1,330.979064
-75983.435411,68,332.220617
-26878.866834,117,334.358701
73165.454836,250,338.981683
-126273.426064,1,338.998717
-160554.423216,1,339.01503
-117562.638932,1,339.033509
-83337.594422,78,340.457461
55323.811602,250,344.992921
-170162.632258,1,345.012845
-117668.069803,1,345.032949
-17938.182987,176,348.171292
-145398.054826,60,349.273384
-5088.032807,172,352.469222
-23874.008634,250,357.117612
133056.397296,250,361.725611
107941.942909,250,366.358162
-17838.613851,163,369.347867
117876.989428,250,373.924223
-117550.489973,1,373.944416
161321.377614,250,378.429559
-167447.494491,1,378.456288
24513.539628,207,382.246375
-155049.58439,115,384.382419
-159258.394968,42,385.175773
175283.487671,250,389.681311
170979.101524,250,394.184972
132411.258471,250,398.844306
154687.14248,250,403.369128
-117555.102462,1,403.386326
151923.105329,250,407.95124
153266.897144,250,412.523531
104838.461278,250,417.010502
137535.793273,250,421.567031
70452.559641,250,426.126434
117471.718552,250,430.672965
79030.735277,250,435.774687
-117548.076825,1,435.794967
-161600.787741,1,435.815785
-202934.801075,2,435.85699
243630.232055,250,440.662046
182040.124621,250,445.597017
175380.965713,250,450.620425
82422.377699,250,455.497281
227474.05877,250,460.389206
-126299.635829,1,460.411451
-117454.789563,1,460.427519
-117570.331181,1,460.460642
83028.72555,250,465.324844
34985.709067,209,469.567176
195728.540127,250,474.656385
203132.609647,250,479.510329
182670.651053,250,484.408509
126015.856523,250,489.565243
26406.910289,250,494.766322
130313.86825,250,499.901788
115996.808345,250,505.18827
-117460.81762,1,505.2185
-126270.827237,1,505.238949
54884.660969,250,510.423595
134296.931704,250,515.921152
13235.724912,250,521.255389
210292.004459,250,526.885267
-126273.034176,1,526.915797
-126409.679503,1,526.946086
131552.584506,250,532.713889
181753.990804,250,538.471773
145717.321821,250,543.546242
114706.104637,250,548.482335
-135093.093037,1,548.502878
111006.112015,250,553.35513
-161846.781214,1,553.383424
-195430.298199,2,553.422616
-135225.560538,1,553.453144
319715.739816,250,558.29785
76838.7919,250,563.410747
-117572.582651,1,563.430428
-10133.053372,250,568.129214
-143808.883591,1,568.14954
-117557.644378,1,568.169796
90727.925171,250,572.982322
126087.278866,250,577.760414
116828.70798,250,582.541457
105936.44843,250,587.284397
91996.969455,250,592.15988
-117553.841165,1,592.190719
-161399.250883,1,592.214673
-117562.535817,1,592.241331
69223.916064,250,597.010784
160552.161361,250,601.70295
90700.598069,250,606.552513
219513.856455,250,611.342849
222107.487937,250,616.092853
254708.868175,250,620.812034
-117647.213615,1,620.832624
-899.400118,250,625.590355
-117552.5699,1,625.609302
43196.784021,250,630.328055
-117442.376571,1,630.357222
135988.883354,250,635.035878
146696.453225,250,639.891469
98303.055001,250,644.692717
120685.013244,250,649.409361
-117455.533394,1,649.44054
-117552.833031,1,649.464945
-15736.735036,250,654.200322
275905.614305,250,658.925519
213020.794224,250,663.609454
-144049.645646,1,663.634528
193540.776474,250,668.425691
-135199.849865,1,668.449354
129194.931017,250,673.116225
-117550.67322,1,673.136654
97203.65887,250,677.867288
187509.047292,250,682.638455
232395.064858,250,687.496546
-117550.06596,1,687.517604
142040.475181,250,692.397021
258078.496101,250,697.311343
-135013.274302,1,697.335949
367514.53132,250,702.273139
167022.874299,250,707.085628
298734.225524,250,711.994391
56016.145799,250,717.13304
-152627.712936,1,717.153708
131566.063741,250,722.132674
-273667.959945,3,722.189109
93692.402231,250,727.309815
227228.253204,250,732.251438
134863.595666,250,737.160851
251701.956602,250,742.119256
218915.524597,250,747.101049
-161530.356708,1,747.123974
21281.194579,250,752.004191
109180.214919,250,756.923218
-226038.099221,2,756.959359
131596.843106,250,761.858563
-32449.909612,250,766.690337
197018.462408,250,771.561632
143711.452372,250,776.506233
55162.064609,250,781.479345
-161362.26398,1,781.502131
277157.574632,250,786.484456
132178.537775,250,791.473616
-161308.529646,1,791.49913
174002.106323,250,796.391077
140852.075196,250,801.284054
-2796.331636,250,806.137119
-117664.233911,1,806.156536
440291.794008,250,810.872005
384295.467658,250,815.649261
-135231.45626,1,815.676947
270914.668865,250,820.513283
63829.38546,250,825.352773
-126371.275044,1,825.377725
-135196.888094,1,825.393791
86707.350785,250,830.115397
137328.915677,250,834.881971
-19966.009209,250,839.639328
62870.314509,250,844.407094
-14575.833663,250,849.226629
43701.100862,250,853.960903
104766.342234,250,858.656116
-117669.270326,1,858.684811
-133084.005802,1,858.70955
-5497050.766431,250,863.397498
-143962.372449,1,863.417841
249061.547875,250,868.146336
-135002.677437,1,868.17244
413893.976052,250,872.821877
-117563.590614,1,872.844869
-161507.900346,1,872.859571
136144.448035,250,877.691223
122239.763748,250,882.488006
43488.325579,250,887.184863
-117569.441238,1,887.212263
214160.558533,250,891.943568
-190332.775723,2,891.984115
41142.264612,250,896.8072
-126369.959707,1,896.833493
-62700.236309,250,901.315716
-135081.766335,1,901.336089
119295.054995,250,906.557928
-143916.917372,1,906.572464
133164.469317,250,912.369316
351323.975171,250,917.610194
126257.446401,250,922.22385
307602.023922,250,927.015382
111500.503581,250,931.803033
135090.248839,250,936.632319
533091.557528,250,941.509713
52241.482266,250,946.335328
187897.22156,250,951.144895
121813.688163,250,956.041191
-141825.688721,1,956.061535
-161360.279104,1,956.079795
157701.916188,250,960.869488
68709.784652,250,965.748043
340504.249038,250,970.54483
55347.676545,250,975.405271
-126370.1961,1,975.427425
