row_id,m1_pwm,m2_pwm,m3_pwm,enc1_deg,enc2_deg
86457,0.000,0.000,0.000,-14.238,-26.543
86458,0.000,0.000,0.000,-14.238,-26.543
86459,0.000,0.000,0.000,-14.238,-26.543
86460,0.000,0.000,0.000,-14.238,-26.543
86461,0.000,0.000,0.000,-14.238,-26.543
86462,0.000,0.000,0.000,-14.238,-26.543
86463,0.000,0.000,0.000,-14.238,-26.543
86464,0.000,0.000,0.000,-14.238,-26.543
86465,0.000,0.000,0.000,-14.238,-26.543
86466,0.000,0.000,0.000,-14.238,-26.543
86467,0.000,0.000,0.000,-14.238,-26.543
86468,0.000,0.000,0.000,-14.238,-26.543
86469,0.000,0.000,0.000,-14.238,-26.543
86470,0.000,0.000,0.000,-14.238,-26.543
86471,0.000,0.000,0.000,-14.238,-26.543
86472,0.000,0.000,0.000,-14.238,-26.543
86473,0.000,0.000,0.000,-14.238,-26.543
86474,0.000,0.000,0.000,-14.238,-26.543
86475,0.000,0.000,0.000,-14.238,-26.543
86476,0.000,0.000,0.000,-14.238,-26.543
86477,0.000,0.000,0.000,-14.238,-26.543
86478,0.000,0.000,0.000,-14.238,-26.543
86479,0.000,0.000,0.000,-14.238,-26.543
86480,0.000,0.000,0.000,-14.238,-26.543
86481,0.000,0.000,0.000,-14.238,-26.543
86482,0.000,0.000,0.000,-14.238,-26.543
86483,0.000,0.000,0.000,-14.238,-26.543
86484,0.000,0.000,0.000,-14.238,-26.543
86485,0.000,0.000,0.000,-14.238,-26.543
86486,0.000,0.000,0.000,-14.238,-26.543
86487,0.000,0.000,0.000,-14.238,-26.543
86488,0.000,0.000,0.000,-14.238,-26.543
86489,0.000,0.000,0.000,-14.238,-26.543
86490,0.000,0.000,0.000,-14.238,-26.543
86491,0.000,0.000,0.000,-14.238,-26.543
86492,0.000,0.000,0.000,-14.238,-26.543
86493,0.000,0.000,0.000,-14.238,-26.543
86494,0.000,0.000,0.000,-14.238,-26.543
86495,0.000,0.000,0.000,-14.238,-26.543
86496,0.000,0.000,0.000,-14.238,-26.543
86497,0.000,0.000,0.000,-14.238,-26.543
86498,0.000,0.000,0.000,-14.238,-26.543
86499,0.000,0.000,0.000,-14.238,-26.543
86500,0.000,0.000,0.000,-14.238,-26.543
86501,0.000,0.000,0.000,-14.238,-26.543
86502,0.000,0.000,0.000,-14.238,-26.543
86503,0.000,0.000,0.000,-14.238,-26.543
