row_id,m1_pwm,m2_pwm,m3_pwm,enc1_deg,enc2_deg
316424,358.514,356.830,684.656,29.092,-19.775
316425,358.514,356.830,684.656,29.092,-19.775
316426,358.514,356.830,684.656,29.092,-19.775
316427,358.514,356.830,684.656,29.092,-19.775
316428,358.514,356.830,684.656,29.092,-19.775
316429,358.514,356.830,684.656,29.092,-19.775
316430,358.514,356.830,684.656,29.092,-19.775
316431,358.514,356.830,684.656,29.092,-19.775
316432,358.514,356.830,684.656,29.092,-19.775
316433,358.514,356.830,684.656,29.092,-19.775
316434,358.514,356.830,684.656,29.092,-19.775
316435,358.514,356.830,684.656,29.092,-19.775
316436,358.514,356.830,684.656,29.092,-19.775
316437,358.514,356.830,684.656,29.092,-19.775
316438,358.514,356.830,684.656,29.092,-19.775
316439,358.514,356.830,684.656,29.092,-19.775
316440,358.514,356.830,684.656,29.092,-19.775
316441,358.514,356.830,684.656,29.092,-19.775
316442,358.514,356.830,684.656,29.092,-19.775
316443,358.514,356.830,684.656,29.092,-19.775
316444,358.514,356.830,684.656,29.092,-19.775
316445,358.514,356.830,684.656,29.092,-19.775
316446,358.514,356.830,684.656,29.092,-19.775
316447,358.514,356.830,684.656,29.092,-19.775
316448,358.514,356.830,684.656,29.092,-19.775
316449,358.514,356.830,684.656,29.092,-19.775
316450,358.514,356.830,684.656,29.092,-19.775
316451,358.514,356.830,684.656,29.092,-19.775
316452,358.514,356.830,684.656,29.092,-19.775
316453,358.514,356.830,684.656,29.092,-19.775
316454,358.514,356.830,684.656,29.092,-19.775
316455,358.514,356.830,684.656,29.092,-19.775
316456,358.514,356.830,684.656,29.092,-19.775
316457,358.514,356.830,684.656,29.092,-19.775
316458,358.514,356.830,684.656,29.092,-19.775
316459,358.514,356.830,684.656,29.092,-19.775
316460,358.514,356.830,684.656,29.092,-19.775
316461,358.514,356.830,684.656,29.092,-19.775
316462,358.514,356.830,684.656,29.092,-19.775
316463,358.514,356.830,684.656,29.092,-19.775
316464,358.514,356.830,684.656,29.092,-19.775
316465,358.514,356.830,684.656,29.092,-19.775
316466,358.514,356.830,684.656,29.092,-19.775
316467,358.514,356.830,684.656,29.092,-19.775
316468,358.514,356.830,684.656,29.092,-19.775
316469,358.514,356.830,684.656,29.092,-19.775
316470,358.514,356.830,684.656,29.092,-19.775
316471,358.514,356.830,684.656,29.092,-19.775
316472,358.514,356.830,684.656,29.092,-19.775
316473,358.514,356.830,684.656,29.092,-19.775
316474,358.514,356.830,684.656,29.092,-19.775
316475,358.514,356.830,684.656,29.092,-19.775
316476,358.514,356.830,684.656,29.092,-19.775
316477,358.514,356.830,684.656,29.092,-19.775
316478,358.514,356.830,684.656,29.092,-19.775
316479,358.514,356.830,684.656,29.092,-19.775
316480,358.514,356.830,684.656,29.092,-19.775
316481,358.514,356.830,684.656,29.092,-19.775
316482,358.514,356.830,684.656,29.092,-19.775
316483,358.514,356.830,684.656,29.092,-19.775
316484,358.514,356.830,684.656,29.092,-19.775
316485,358.514,356.830,684.656,29.092,-19.775
316486,358.514,356.830,684.656,29.092,-19.775
316487,358.514,356.830,684.656,29.092,-19.775
316488,358.514,356.830,684.656,29.092,-19.775
316489,358.514,356.830,684.656,29.092,-19.775
316490,358.514,356.830,684.656,29.092,-19.775
316491,358.514,356.830,684.656,29.092,-19.775
316492,358.514,356.830,684.656,29.092,-19.775
316493,358.514,356.830,684.656,29.092,-19.775
316494,358.514,356.830,684.656,29.092,-19.775
316495,358.514,356.830,684.656,29.092,-19.775
316496,358.514,356.830,684.656,29.092,-19.775
316497,358.514,356.830,684.656,29.092,-19.775
316498,358.514,356.830,684.656,29.092,-19.775
316499,358.514,356.830,684.656,29.092,-19.775
316500,358.514,356.830,684.656,29.092,-19.775
316501,358.514,356.830,684.656,29.092,-19.775
316502,358.514,356.830,684.656,29.092,-19.775
316503,358.514,356.830,684.656,29.092,-19.775
316504,358.514,356.830,684.656,29.092,-19.775
316505,358.514,356.830,684.656,29.092,-19.775
316506,358.514,356.830,684.656,29.092,-19.775
316507,358.514,356.830,684.656,29.092,-19.775
316508,358.514,356.830,684.656,29.092,-19.775
316509,358.514,356.830,684.656,29.092,-19.775
316510,358.514,356.830,684.656,29.092,-19.775
316511,358.514,356.830,684.656,29.092,-19.775
316512,358.514,356.830,684.656,29.092,-19.775
316513,358.514,356.830,684.656,29.092,-19.775
316514,358.514,356.830,684.656,29.092,-19.775
316515,358.514,356.830,684.656,29.092,-19.775
316516,358.514,356.830,684.656,29.092,-19.775
316517,358.514,356.830,684.656,29.092,-19.775
316518,358.514,356.830,684.656,29.092,-19.775
316519,358.514,356.830,684.656,29.092,-19.775
316520,358.514,356.830,684.656,29.092,-19.775
316521,358.514,356.830,684.656,29.092,-19.775
316522,358.514,356.830,684.656,29.092,-19.775
316523,358.514,356.830,684.656,29.092,-19.775
316524,358.514,356.830,684.656,29.092,-19.775
316525,358.514,356.830,684.656,29.092,-19.775
316526,358.514,356.830,684.656,29.092,-19.775
316527,358.514,356.830,684.656,29.092,-19.775
316528,358.514,356.830,684.656,29.092,-19.775
316529,358.514,356.830,684.656,29.092,-19.775
316530,358.514,356.830,684.656,29.092,-19.775
316531,358.514,356.830,684.656,29.092,-19.775
316532,358.514,356.830,684.656,29.092,-19.775
316533,358.514,356.830,684.656,29.092,-19.775
316534,358.514,356.830,684.656,29.092,-19.775
316535,358.514,356.830,684.656,29.092,-19.775
316536,358.514,356.830,684.656,29.092,-19.775
316537,358.514,356.830,684.656,29.092,-19.775
316538,358.514,356.830,684.656,29.092,-19.775
316539,358.514,356.830,684.656,29.092,-19.775
316540,358.514,356.830,684.656,29.092,-19.775
316541,358.514,356.830,684.656,29.092,-19.775
316542,358.514,356.830,684.656,29.092,-19.775
316543,358.514,356.830,684.656,29.092,-19.775
316544,358.514,356.830,684.656,29.092,-19.775
316545,358.514,356.830,684.656,29.092,-19.775
316546,358.514,356.830,684.656,29.092,-19.775
316547,358.514,356.830,684.656,29.092,-19.775
316548,358.514,356.830,684.656,29.092,-19.775
316549,358.514,356.830,684.656,29.092,-19.775
316550,358.514,356.830,684.656,29.092,-19.775
316551,358.514,356.830,684.656,29.092,-19.775
316552,358.514,356.830,684.656,29.092,-19.775
316553,358.514,356.830,684.656,29.092,-19.775
316554,358.514,356.830,684.656,29.092,-19.775
316555,358.514,356.830,684.656,29.092,-19.775
316556,358.514,356.830,684.656,29.092,-19.775
316557,358.514,356.830,684.656,29.092,-19.775
316558,358.514,356.830,684.656,29.092,-19.775
316559,358.514,356.830,684.656,29.092,-19.775
316560,358.514,356.830,684.656,29.092,-19.775
316561,358.514,356.830,684.656,29.092,-19.775
316562,358.514,356.830,684.656,29.092,-19.775
316563,358.514,356.830,684.656,29.092,-19.775
316564,358.514,356.830,684.656,29.092,-19.775
316565,358.514,356.830,684.656,29.092,-19.775
316566,358.514,356.830,684.656,29.092,-19.775
316567,358.514,356.830,684.656,29.092,-19.775
316568,358.514,356.830,684.656,29.092,-19.775
316569,358.514,356.830,684.656,29.092,-19.775
316570,358.514,356.830,684.656,29.092,-19.775
316571,358.514,356.830,684.656,29.092,-19.775
316572,358.514,356.830,684.656,29.092,-19.775
316573,358.514,356.830,684.656,29.092,-19.775
316574,358.514,356.830,684.656,29.092,-19.775
316575,358.514,356.830,684.656,29.092,-19.775
316576,358.514,356.830,684.656,29.092,-19.775
316577,358.514,356.830,684.656,29.092,-19.775
316578,358.514,356.830,684.656,29.092,-19.775
316579,358.514,356.830,684.656,29.092,-19.775
316580,358.514,356.830,684.656,29.092,-19.775
316581,358.514,356.830,684.656,29.092,-19.775
316582,358.514,356.830,684.656,29.092,-19.775
316583,358.514,356.830,684.656,29.092,-19.775
316584,358.514,356.830,684.656,29.092,-19.775
316585,358.514,356.830,684.656,29.092,-19.775
316586,358.514,356.830,684.656,29.092,-19.775
316587,358.514,356.830,684.656,29.092,-19.775
